Mitä sinä aiot tehdä tänään?	What are you going to do today?
Mihin aikaan heräsit?	What time did you wake up?
Nukuitko hyvin viime yönä?	Did you sleep well last night?
Mitä me syömme aamiaiseksi?	What are we having for breakfast?
Keitänkö kahvia?	Shall I make coffee?
Minun täytyy lähteä töihin kahdeksaksi.	I have to leave for work by eight.
Milloin sinun koulusi alkaa?	When does your school start?
Muista ottaa avaimet mukaasi.	Remember to take your keys with you.
Kuka vie roskat ulos?	Who is taking the trash out?
Tarvitsetko kyydin jonnekin?	Do you need a ride somewhere?
Mitä meillä on lounaaksi tänään?	What are we having for lunch today?
Minulla on lääkäriaika kello kaksi.	I have a doctor's appointment at two o'clock.
Voisitko käydä kaupassa paluumatkalla?	Could you go to the grocery store on your way back?
Tarvitsemme maitoa, leipää ja juustoa.	We need milk, bread, and cheese.
Milloin tulet kotiin?	When will you be home?
Soita minulle, kun olet lähtenyt.	Call me when you have left.
Mitä suunnitelmia sinulla on iltapäiväksi?	What plans do you have for the afternoon?
Minun pitää tehdä kotitöitä.	I need to do some chores.
Kuka laittaa päivällisen tänään?	Who is making dinner tonight?
Syödäänkö tänään ulkona?	Shall we eat out today?
Minä voin laittaa ruokaa, jos sinä tiskaat.	I can cook if you do the dishes.
Päivällinen on valmis kuudelta.	Dinner will be ready at six.
Onko sinulla mitään harrastuksia tänään?	Do you have any hobbies today?
Minulla on jalkapalloharjoitukset kello viisi.	I have soccer practice at five o'clock.
Voisitko auttaa minua läksyissäni?	Could you help me with my homework?
Mitä haluaisit katsoa televisiosta?	What would you like to watch on TV?
Katsotaan yhdessä elokuva.	Let's watch a movie together.
Minä menen suihkuun nyt.	I'm going to take a shower now.
On aika mennä nukkumaan.	It's time to go to bed.
Hyvää yötä, nähdään huomenna.	Good night, see you tomorrow.
Herätä minut seitsemältä, kiitos.	Wake me up at seven, please.
Aion nukkua pitkään huomenna.	I'm going to sleep in tomorrow.
Mitä teemme viikonloppuna?	What are we doing this weekend?
Voisimmeko mennä elokuviin lauantaina?	Could we go to the movies on Saturday?
Meidän pitäisi siivota talo.	We should clean the house.
Minä imuroin, jos sinä pyyhit pölyt.	I'll vacuum if you dust.
Muista kastella kukat.	Remember to water the flowers.
Kuka vie koiran kävelylle?	Who is taking the dog for a walk?
Onko meillä mitään suunnitelmia illaksi?	Do we have any plans for the evening?
Voimme kutsua ystäviä kylään.	We could invite friends over.
Minun pitää pestä pyykkiä.	I need to do the laundry.
Tyhjennä tiskikone, kiitos.	Please empty the dishwasher.
Laitoin uuden koneellisen pyykkiä peseytymään.	I put a new load of laundry in.
Onko sinulla paljon töitä tänään?	Do you have a lot of work today?
Minulla on kiireinen päivä edessä.	I have a busy day ahead of me.
Yritän tulla kotiin aikaisin.	I'll try to come home early.
Syön lounaan työpaikalla.	I'll have lunch at work.
Älä unohda soittaa isoäidille.	Don't forget to call grandma.
Voitko viedä lapset harrastuksiin?	Can you take the kids to their hobbies?
Noudan lapset koulusta.	I'll pick up the kids from school.
Mitä kello on?	What time is it?
Olen myöhässä.	I'm running late.
Parempi kiirehtiä.	We'd better hurry.
Oletko valmis lähtemään?	Are you ready to go?
Odota minua, tulen heti.	Wait for me, I'll be right there.
Syödäänkö aamiaista yhdessä?	Shall we have breakfast together?
Minun täytyy käydä postissa.	I need to go to the post office.
Voisitko maksaa laskut?	Could you pay the bills?
Suunnitellaan ensi viikon ruokalista.	Let's plan next week's menu.
Kirjoitetaan ostoslista.	Let's write a shopping list.
Olen todella väsynyt tänään.	I'm really tired today.
Menen aikaisin nukkumaan.	I'm going to bed early.
Luin kirjaa ennen nukkumaanmenoa.	I read a book before going to sleep.
Mitä haluaisit tehdä, kun pääset töistä?	What would you like to do when you get off work?
Mennäänkö kävelylle auringonlaskun aikaan?	Shall we go for a walk at sunset?
Rentoudutaan vain sohvalla.	Let's just relax on the couch.
Onko jääkaapissa mitään syötävää?	Is there anything to eat in the fridge?
Voin tehdä meille voileivät.	I can make us some sandwiches.
Laitetaanko sauna päälle illalla?	Should we turn on the sauna in the evening?
Minun pitää tarkistaa sähköpostini.	I need to check my emails.
Onko sinulla hetki aikaa puhua?	Do you have a moment to talk?
Meidän täytyy keskustella lomasuunnitelmista.	We need to discuss our holiday plans.
Mitä mieltä olet päivällisestä?	What do you think about dinner?
Tehdään tänään jotain helppoa ja nopeaa.	Let's make something easy and quick today.
Voinko lainata autoasi?	Can I borrow your car?
Minun pitää tankata auto.	I need to refuel the car.
Milloin sinun kokouksesi loppuu?	When does your meeting end?
Voin odottaa sinua.	I can wait for you.
Nähdään myöhemmin.	See you later.
Pidä hauska päivä!	Have a nice day!
Samoin sinulle!	You too!
Miten päiväsi meni?	How was your day?
Se oli melko tavanomainen.	It was pretty ordinary.
Tapahtui jotain mielenkiintoista.	Something interesting happened.
Kerro minulle kaikki siitä.	Tell me all about it.
Olen iloinen, että olet kotona.	I'm glad you're home.
Minulla oli sinua ikävä.	I missed you.
Mitä haluat tehdä huomenna?	What do you want to do tomorrow?
Samaa kuin tänään.	Same thing as today.
Ehkä voimme tehdä jotain erityistä.	Maybe we can do something special.
Se kuulostaa hyvältä idealta.	That sounds like a great idea.
Minä hoidan aamiaisen huomenna.	I'll take care of breakfast tomorrow.
Sinä voit nukkua pitkään.	You can sleep in.
Onko kaikki hyvin?	Is everything okay?
Näytät väsyneeltä.	You look tired.
Lepää hetki.	Rest for a while.
Tarvitsetko apua jossakin?	Do you need help with anything?
Kyllä, kiitos, se olisi hienoa.	Yes, please, that would be great.
Ei kiitos, pärjään kyllä.	No thanks, I can manage.
Muista, että meillä on vieraita tulossa illalla.	Remember we have guests coming over tonight.
Mihin aikaan he saapuvat?	What time are they arriving?
Siivoan olohuoneen.	I'll clean the living room.
Voisitko sinä valmistaa jotain pientä purtavaa?	Could you prepare some snacks?
