Mitä tänään pakkaisi lounaaksi?	What should I pack for lunch today?
Pakkaan mukaan voileivän ja banaanin.	I'm packing a sandwich and a banana.
Muista ottaa vesipullo mukaan.	Remember to take a water bottle with you.
Laitoin eiliset tähteet eväsrasiaan.	I put yesterday's leftovers in the lunchbox.
Teen ison salaatin piknikkiä varten.	I'm making a big salad for the picnic.
Onko meillä mitään pientä makeaa mukaan otettavaksi?	Do we have any small sweets to take along?
Keitto pysyy kuumana termospullossa.	The soup will stay hot in a thermos.
Leikkasin porkkanoita ja kurkkua tikuiksi.	I cut carrots and cucumbers into sticks.
Nämä jogurtit ovat käteviä eväitä.	These yogurts are convenient snacks.
Mihin minä laitoin eväskassini?	Where did I put my lunch bag?
Pakkaamme eväät mukaan ja menemme puistoon.	We'll pack a lunch and go to the park.
Voitko laittaa kahvia termariin?	Can you put some coffee in the thermos?
Tarvitsemme myös lautasliinoja.	We also need napkins.
Otan mukaan kourallisen pähkinöitä välipalaksi.	I'll take a handful of nuts for a snack.
Tämä eväsrasia on juuri sopivan kokoinen.	This lunchbox is just the right size.
Unohdin haarukan ja veitsen.	I forgot a fork and a knife.
Pitäisikö meidän ottaa mukaan piknik-viltti?	Should we bring a picnic blanket?
Teen meille kanawrapit huomiseksi töihin.	I'll make us chicken wraps for work tomorrow.
Onko tämä leipä tuoretta?	Is this bread fresh?
Laitoin sinullekin omenan reppuun.	I put an apple in your backpack for you too.
Nämä hedelmät pitää pestä ennen pakkaamista.	These fruits need to be washed before packing.
Kovaksi keitetty kananmuna on hyvä proteiininlähde.	A hard-boiled egg is a good source of protein.
Muista kylmäkalle, jotta ruoat pysyvät kylminä.	Remember the ice pack so the food stays cold.
Teen tonnikalasalaattia leivän päälle.	I'm making tuna salad for the sandwiches.
Riittääkö tämä kaikille?	Will this be enough for everyone?
Pakkaan lapsille omat pienet eväslaatikot.	I'm packing separate little lunchboxes for the children.
Smoothie on helppo juoda matkalla.	A smoothie is easy to drink on the go.
