Mihin meidän kannattaisi mennä viikonloppuna?	Where should we go for the weekend?
Olen ajatellut pientä matkaa.	I've been thinking about a little trip.
Lähdetäänkö jonnekin autolla?	Should we go somewhere by car?
Voisimme vuokrata mökin järven rannalta.	We could rent a cottage by the lake.
Entä kaupunkiloma Helsingissä?	How about a city break in Helsinki?
Hotellien hinnat näyttävät olevan aika korkealla.	The hotel prices seem to be quite high.
Katsoin juuri juna-aikatauluja.	I just looked at the train schedules.
Meidän pitäisi varata majoitus pian.	We should book the accommodation soon.
Onko sinulla mitään toiveita kohteen suhteen?	Do you have any wishes regarding the destination?
Haluaisin mennä paikkaan, jossa voi rentoutua.	I'd like to go to a place where we can relax.
Mitä aktiviteetteja siellä on tarjolla?	What activities are available there?
Voisimme käydä kansallispuistossa patikoimassa.	We could go hiking in a national park.
Pakkaanko uimapuvun mukaan?	Should I pack a swimsuit?
Tarkista sääennuste viikonlopulle.	Check the weather forecast for the weekend.
Lähdemmekö matkaan heti perjantaina töiden jälkeen?	Shall we leave right after work on Friday?
Kuinka pitkä ajomatka sinne on?	How long is the drive there?
Voin ajaa ensimmäisen osuuden.	I can drive the first part.
Tehdään matkasuunnitelma.	Let's make an itinerary.
Muistetaan ottaa hyvät kengät mukaan.	Let's remember to bring good shoes.
Onko lemmikki tervetullut hotelliin?	Is a pet welcome at the hotel?
Olen niin innoissani tästä reissusta!	I'm so excited about this trip!
Varasin meille huoneen, jossa on parveke.	I booked us a room with a balcony.
Mitä luulet, tarvitsemmeko käteistä?	Do you think we'll need cash?
Voimme syödä illallista jossain kivassa ravintolassa.	We can have dinner at some nice restaurant.
Ehdotan, että käymme paikallisessa museossa.	I suggest we visit the local museum.
Onko siellä hyviä ostosmahdollisuuksia?	Are there good shopping opportunities there?
Pidetään budjetti mielessä.	Let's keep the budget in mind.
Tästä tulee varmasti mahtava viikonloppu.	This is surely going to be an awesome weekend.
Lähetän sinulle varausvahvistuksen sähköpostitse.	I'll send you the booking confirmation by email.
Voimme pysähtyä matkalla syömään.	We can stop for a meal on the way.
Otan kirjan mukaan luettavaksi.	I'll bring a book to read.
Milloin meidän pitää luovuttaa huone sunnuntaina?	What time do we have to check out on Sunday?
Toivottavasti saamme aurinkoista säätä.	I hope we get sunny weather.
Voitaisiinko käydä myös kylpylässä?	Could we also visit a spa?
Tarkistin, ja siellä on ilmainen pysäköinti.	I checked, and there's free parking.
Onko aamiainen sisällytetty hintaan?	Is breakfast included in the price?
Suunnitellaan lauantain ohjelma.	Let's plan the program for Saturday.
Olen aina halunnut käydä siinä kaupungissa.	I've always wanted to visit that city.
Matkakuume alkaa nousta.	The travel fever is starting to rise.
Voimme tehdä eväät mukaan päiväretkelle.	We can pack some snacks for a day trip.
Älä unohda ladata puhelintasi.	Don't forget to charge your phone.
Onko mökissä saunaa?	Does the cottage have a sauna?
Löysin edullisen tarjouksen netistä.	I found a cheap offer online.
Meidän pitäisi lähteä kotoa viimeistään viideltä.	We should leave home by five at the latest.
Onko junalippuja vielä saatavilla?	Are there still train tickets available?
Tämä on täydellinen tapa irtautua arjesta.	This is a perfect way to get away from the everyday.
Odotan eniten luonnonrauhaa.	I'm looking forward to the peace of nature the most.
Mitä jos vuokraisimme pyörät perillä?	What if we rented bikes when we get there?
Katsotaan, mitä tapahtumia siellä on viikonloppuna.	Let's see what events are on there this weekend.
Voitaisiin pitää leffailta hotellihuoneessa.	We could have a movie night in the hotel room.
Otan matkapelin mukaan.	I'll bring a travel game.
Varaa paikat ikkunan vierestä, jos mahdollista.	Reserve seats by the window, if possible.
Onko siellä Wi-Fi-yhteys?	Is there a Wi-Fi connection?
Voimme nukkua pitkään aamulla.	We can sleep in in the morning.
Onko sinulla kaikki tarvittava pakattuna?	Do you have everything you need packed?
Muista ottaa kamera mukaan.	Remember to take your camera.
