Haluatko mennä elokuviin tänään?	Would you like to go to the movies today?
Mitä leffoja on ohjelmistossa?	What movies are on the program?
Mennäänkö katsomaan se uusi toimintaelokuva?	Shall we go see that new action movie?
Olen kuullut siitä hyviä arvosteluja.	I've heard good reviews about it.
Mihin aikaan seuraava näytös alkaa?	What time does the next showing start?
Ostetaanko liput netistä etukäteen?	Should we buy the tickets online in advance?
Voin varata meille paikat.	I can reserve seats for us.
Missä elokuvateatterissa se pyörii?	In which movie theater is it playing?
Sopiiko Plevna sinulle?	Does Plevna work for you?
Nähdään teatterin aulassa puoli tuntia ennen.	Let's meet in the theater lobby half an hour before.
Haluatko poppareita ja limua?	Do you want popcorn and soda?
Minä voin tarjota liput.	I can pay for the tickets.
Mistä rivistä haluaisit istua?	From which row would you like to sit?
Keskeltä näkee aina parhaiten.	You can always see best from the middle.
Toivottavasti se ei ole loppuunmyyty.	I hope it's not sold out.
Mistä se elokuva edes kertoo?	What is that movie even about?
Olen nähnyt sen trailerin, vaikutti hyvältä.	I've seen its trailer, it looked good.
Kuka on sen pääosassa?	Who is in the lead role?
Elokuva kestää noin kaksi tuntia.	The movie lasts about two hours.
Onko siinä tekstityksiä?	Does it have subtitles?
Se on suomeksi puhuttu.	It is spoken in Finnish.
Voimmeko mennä myöhäisempään näytökseen?	Can we go to a later showing?
Seitsemän näytös sopii minulle täydellisesti.	The seven o'clock showing is perfect for me.
Lähdetkö mukaan leffaan viikonloppuna?	Will you join me for a movie on the weekend?
Tarkistan heti, mitä elokuvia on tarjolla.	I'll check right away what movies are available.
Tämä komedia voisi olla hauska.	This comedy could be fun.
En ole suuri kauhuelokuvien ystävä.	I'm not a big fan of horror movies.
Valitaan jotain kevyempää.	Let's choose something lighter.
Onko opiskelija-alennusta?	Is there a student discount?
Muista ottaa opiskelijakortti mukaan.	Remember to bring your student card.
Minä ajan, voin hakea sinut.	I'll drive, I can pick you up.
Mennäänkö bussilla keskustaan?	Shall we take the bus to the city center?
Teatteri on aivan pysäkin vieressä.	The theater is right next to the bus stop.
Voitko tarkistaa näytösajat netistä?	Can you check the showtimes online?
Lippujen hinnat ovat nousseet taas.	The ticket prices have gone up again.
Onko se 3D-elokuva?	Is it a 3D movie?
Tarvitsemme 3D-lasit sitä varten.	We'll need 3D glasses for that.
En pidä 3D-elokuvista, ne saavat pääni särkemään.	I don't like 3D movies, they give me a headache.
Valitaan tavallinen 2D-versio.	Let's choose the regular 2D version.
