Taksi, olkaa hyvä.	Taxi, please.
Onko tämä taksi vapaa?	Is this taxi free?
Kyyti keskustaan, kiitos.	A ride to the city center, please.
Voitteko viedä minut tähän osoitteeseen?	Can you take me to this address?
Lentokentälle, kiitos.	To the airport, please.
Rautatieasemalle, ja mahdollisimman nopeasti.	To the train station, and as quickly as possible.
Kuinka paljon matka suunnilleen maksaa?	How much will the trip approximately cost?
Voinko maksaa kortilla?	Can I pay by card?
Käykö teillä luottokortti?	Do you accept credit cards?
Tarvitsen kuitin, kiitos.	I need a receipt, please.
Pitäkää loput.	Keep the change.
Kiitos kyydistä!	Thanks for the ride!
Soitan taksin.	I'll call a taxi.
Mistä löydän lähimmän taksitolpan?	Where can I find the nearest taxi stand?
Voinko tilata taksin huomisaamuksi?	Can I order a taxi for tomorrow morning?
Haluaisin tilata taksin kello kahdeksaksi.	I would like to order a taxi for eight o'clock.
Pysähtykää tähän kulmalle, olkaa hyvä.	Please stop at this corner.
Voitteko jättää minut tuon ison rakennuksen eteen?	Can you drop me off in front of that big building?
Se on tuo keltainen talo tuolla vasemmalla.	It's that yellow house there on the left.
Käänny seuraavista liikennevaloista oikealle.	Turn right at the next traffic lights.
Aja suoraan, kunnes sanon muuta.	Go straight until I say otherwise.
Anteeksi, taitaa olla ruuhkaa.	Excuse me, it seems there's traffic.
Kuinka kauan matka kestää?	How long will the journey take?
Onko tämä nopein reitti?	Is this the fastest route?
Voitteko auttaa matkalaukkujen kanssa?	Can you help with the luggage?
Laitatteko matkatavarat takakonttiin?	Will you put the luggage in the trunk?
Onko teillä lastenistuinta?	Do you have a child seat?
Tarvitsisimme isomman taksin.	We would need a bigger taxi.
Meitä on viisi matkustajaa.	There are five of us passengers.
Laitathan taksamittarin päälle.	Please turn on the taximeter.
Onko teillä kiinteä hinta lentokentälle?	Do you have a fixed price to the airport?
Mitä kautta ajamme?	Which way are we driving?
Voimmeko ajaa Kauppakadun kautta?	Can we drive via Kauppakatu?
Unohdin lompakkoni. Voitteko odottaa hetken?	I forgot my wallet. Can you wait a moment?
Minulla on kiire kokoukseen.	I'm in a hurry to a meeting.
Ehdinkö junaan, joka lähtee puolelta?	Will I make the train that leaves at half past?
Tämä on määränpääni.	This is my destination.
Kiitos avusta ja hyvää päivänjatkoa!	Thanks for the help and have a good day!
Voitteko avata takakontin?	Can you open the trunk?
Näyttää siltä, että unohdin jotain autoosi.	It seems I forgot something in your car.
Mikä on taksiyhtiönne puhelinnumero?	What is your taxi company's phone number?
Ajaminen oli tasaista, kiitos.	The driving was smooth, thank you.
Soitatteko, kun olette alhaalla?	Will you call when you are downstairs?
Taksinne on saapunut.	Your taxi has arrived.
Olen pahoillani, että olen myöhässä.	I'm sorry for being late.
Voitko laittaa ilmastoinnin päälle?	Can you turn on the air conditioning?
Voitko laittaa lämmitystä kovemmalle?	Can you turn up the heat?
Saako ikkunan avata?	Is it okay to open the window?
Musiikki on hieman liian kovalla.	The music is a bit too loud.
Onpa teillä siisti auto.	What a clean car you have.
Oletteko ajanut taksia kauan?	Have you been driving a taxi for a long time?
Mikä on nimenne?	What is your name?
Onko ollut kiireinen ilta?	Has it been a busy evening?
Tiedättekö hyvän paikallisen ravintolan?	Do you know a good local restaurant?
Taksi Helsinkiin, kiitos.	A taxi to Helsinki, please.
Kuinka kauan joudun odottamaan?	How long will I have to wait?
Tilausvahvistus saapui juuri.	The order confirmation just arrived.
Peruutan taksitilaukseni.	I am canceling my taxi order.
Minun täytyy muuttaa määränpäätä.	I need to change the destination.
Uusi osoite on...	The new address is...
Maksan käteisellä.	I'll pay with cash.
Onko teillä antaa takaisin kahdestakymmenestä eurosta?	Do you have change for a twenty-euro bill?
Hyväksyttekö lähimaksun?	Do you accept contactless payment?
Syötä PIN-koodi.	Enter your PIN code.
Odota hetki, maksua käsitellään.	Wait a moment, the payment is being processed.
Maksu hyväksytty.	Payment approved.
Haluaisin tilataksin.	I would like a large capacity taxi.
Onko autossa Wi-Fi-yhteyttä?	Is there Wi-Fi in the car?
Voitko ajaa varovaisemmin?	Can you drive more carefully?
Minua voi vähän heikottaa autossa.	I can get a little carsick.
Onko teillä vesipulloa?	Do you have a bottle of water?
Seuraa vain opasteita lentokentälle.	Just follow the signs to the airport.
Jätä minut pääsisäänkäynnin eteen.	Drop me off in front of the main entrance.
Onko tämä virallinen taksi?	Is this an official taxi?
Mikä on kilometrihinta?	What is the price per kilometer?
Onko yöllä eri taksa?	Is there a different tariff at night?
Mistä voin tehdä valituksen?	Where can I make a complaint?
Hukkasin puhelimeni taksiin.	I lost my phone in the taxi.
Soitin taksikeskukseen.	I called the taxi center.
Sain erinomaista palvelua.	I received excellent service.
