Päivää, haluaisin tallettaa rahaa.	Good day, I would like to deposit some money.
Haluan tallettaa käteistä tililleni.	I want to deposit cash into my account.
Minun pitää tallettaa tämä sekki.	I need to deposit this check.
Voinko saada talletuslipukkeen?	Can I get a deposit slip?
Missä voin täyttää tämän lomakkeen?	Where can I fill out this form?
Tarvitsenko kynän?	Do I need a pen?
Tässä on tilinumeroni.	Here is my account number.
Haluaisin tallettaa 500 euroa.	I would like to deposit 500 euros.
Nämä rahat ovat säästötililleni.	This money is for my savings account.
Ja nämä menevät käyttötilille.	And this goes into the current account.
Voitteko antaa minulle kuitin talletuksesta?	Can you give me a receipt for the deposit?
Onko teillä talletusautomaattia?	Do you have a deposit machine?
Miten talletusautomaatti toimii?	How does the deposit machine work?
Voinko tallettaa kolikoita automaatilla?	Can I deposit coins using the machine?
Kiitos avusta.	Thank you for your help.
Onko tämä oikea jono tiskille?	Is this the right queue for the counter?
Anteeksi, voinko kysyä neuvoa?	Excuse me, can I ask for advice?
Haluan tallettaa rahaa lapseni tilille.	I want to deposit money into my child's account.
Tarvitsenko hänen tilinumeronsa?	Do I need his account number?
Riittääkö henkilökorttini tunnistautumiseen?	Is my ID card enough for identification?
Talletan tämän summan yrityksemme tilille.	I am depositing this amount into our company's account.
Voinko tallettaa ulkomaan valuuttaa?	Can I deposit foreign currency?
Mikä on tämän päivän vaihtokurssi dollareille?	What is today's exchange rate for dollars?
Kuinka kauan kestää, että sekki näkyy tilillä?	How long does it take for the check to show on the account?
Tässä on allekirjoitukseni.	Here is my signature.
Laskin rahat huolellisesti kotona.	I counted the money carefully at home.
Tässä on kaksisataa euroa viidenkympin seteleinä.	Here is two hundred euros in fifty-euro notes.
Ja tässä on loput kolikoina.	And here is the rest in coins.
Onko talletuksella jokin raja?	Is there a limit for the deposit?
Pankki on melko ruuhkainen tähän aikaan.	The bank is quite crowded at this time.
Olisi pitänyt tulla aamulla.	I should have come in the morning.
Ehdinkö vielä asioida ennen sulkemisaikaa?	Will I have time to do my business before closing time?
Asiakaspalvelu on täällä yleensä nopeaa.	The customer service here is usually fast.
Haluaisin myös tarkistaa tilini saldon.	I would also like to check my account balance.
Voitteko tulostaa minulle tiliotteen?	Could you print me a bank statement?
Tämä talletus on vuokranmaksua varten.	This deposit is for a rent payment.
Voitteko vahvistaa, että rahat menivät perille?	Can you confirm that the money went through?
Milloin talletus näkyy verkkopankissani?	When will the deposit appear in my online banking?
Unohdin allekirjoittaa shekin takapuolelta.	I forgot to sign the back of the check.
Tässä, olkaa hyvä.	Here you go.
Onko tämä lomake oikein täytetty?	Is this form filled out correctly?
Pahoittelen epäselvää käsialaani.	I apologize for my unclear handwriting.
Tässä on summa myös sanoin kirjoitettuna.	Here is the amount also written in words.
Voinko saada apua tämän automaatin kanssa?	Can I get help with this machine?
Automaatti ei hyväksynyt seteleitäni.	The machine did not accept my banknotes.
Yritän uudelleen.	I will try again.
Nyt se onnistui.	Now it worked.
Säilytän kuitin varmuuden vuoksi.	I will keep the receipt just in case.
Onko viikonloppuna mahdollista tallettaa rahaa?	Is it possible to deposit money on the weekend?
Lähin talletusautomaatti on kauppakeskuksessa.	The nearest deposit machine is in the shopping center.
Tarvitsen myös uuden pankkikortin.	I also need a new bank card.
Voinko tilata sen täällä?	Can I order it here?
Asiani koskee vain käteisen tallettamista.	My business only concerns depositing cash.
Olen seuraava jonossa.	I am next in the queue.
Kuka on viimeinen?	Who is last?
Odottelen vuoroani rauhassa.	I will wait for my turn peacefully.
Onneksi täällä on istumapaikkoja.	Luckily, there are seats here.
Talletus onnistui odotettua nopeammin.	The deposit was quicker than I expected.
Kiitos paljon ja hyvää päivänjatkoa!	Thank you very much and have a nice day!
Näkemiin.	Goodbye.
Tämä on tilisiirto, ei talletus.	This is a bank transfer, not a deposit.
Aion tallettaa tämän syntymäpäivälahjaksi saamani rahan.	I'm going to deposit this money I got for my birthday.
Voinko tallettaa ja nostaa rahaa samalla kertaa?	Can I deposit and withdraw money at the same time?
Tässä on passini tunnistautumista varten.	Here is my passport for identification.
Onko tililläni tapahtunut muita muutoksia?	Have there been any other changes to my account?
Kaikki näyttää olevan kunnossa.	Everything seems to be in order.
Voinko saada kolikkorullan?	Can I get a coin roll?
Haluaisin vaihtaa nämä suuret setelit pienemmiksi.	I would like to exchange these large notes for smaller ones.
Pankkivirkailija oli erittäin avulias.	The bank teller was very helpful.
Käytän yleensä mobiilipankkia talletuksiin.	I usually use the mobile bank for deposits.
Tällä kertaa minulla oli kuitenkin käteistä.	This time, however, I had cash.
On turvallisempaa tallettaa rahat heti.	It is safer to deposit the money right away.
Älä kanna suuria summia käteistä mukanasi.	Don't carry large amounts of cash with you.
Pankin tallelokero on hyvä vaihtoehto.	A bank's safe deposit box is a good option.
Tämä talletus liittyy asuntolainaani.	This deposit is related to my mortgage.
Onko shekin tallettamisesta lisämaksua?	Is there an additional fee for depositing a check?
Shekki on osoitettu minulle.	The check is addressed to me.
Voinko lunastaa tämän shekin käteiseksi?	Can I cash this check?
Mieluummin talletan sen suoraan tililleni.	I would rather deposit it directly into my account.
Tarkistan summan vielä kerran.	I will check the amount one more time.
Kaikki täsmää.	Everything matches.
Allekirjoitus, kiitos.	Signature, please.
Tähän kohtaan, olkaa hyvä.	In this spot, please.
Teidän nimenne selvennys.	Your name clarified (printed).
Päivämäärä on myös tärkeä.	The date is also important.
Nyt kaikki on valmista.	Now everything is ready.
Sain hyvää palvelua.	I received good service.
Palaan tähän pankkiin uudelleen.	I will return to this bank again.
Seuraavaksi on minun vuoroni.	Next, it is my turn.
Päivää, tulin tallettamaan rahaa.	Good day, I came to deposit money.
Onko tämä kassa auki?	Is this register open?
Siirryn seuraavalle tiskille.	I will move to the next counter.
Odottakaa hetki, etsin tilinumeroni.	Wait a moment, I'm looking for my account number.
Se on kirjoitettu tähän muistilappuun.	It's written on this memo note.
Löysinpäs sen.	I found it.
Saisinko hetken aikaanne?	May I have a moment of your time?
Tämä on hieman monimutkaisempi talletus.	This is a slightly more complicated deposit.
Kyseessä on perintöön liittyvä summa.	It is an amount related to an inheritance.
Tarvitsen neuvoa sen käsittelyyn.	I need advice on how to handle it.
Varataan sille erillinen aika.	Let's book a separate appointment for it.
Tänään talletan vain tämän pienen summan.	Today I am only depositing this small amount.
