Moi! Mitä kuuluu?	Hi! How are you?
Terve, pitkästä aikaa!	Hey, long time no see!
Ajattelin vain laittaa viestiä.	I just thought I'd send a message.
Toivottavasti sinulla menee hyvin.	I hope you're doing well.
Olisiko sinulla hetki aikaa?	Would you have a moment?
Olen tässä suunnitellut pientä juttua.	I've been planning a little something.
Haluaisin kutsua sinut meille.	I would like to invite you to our place.
Pidetään pienet juhlat.	Let's have a little party.
Järjestän illanistujaiset ensi viikonloppuna.	I'm organizing a get-together next weekend.
Mitäs sanoisit, jos tulisit käymään?	What would you say to stopping by?
Olet lämpimästi tervetullut!	You are warmly welcome!
Täytän vuosia ja ajattelin juhlistaa sitä.	It's my birthday and I thought I'd celebrate.
Järjestän tuparit uuden asunnon kunniaksi.	I'm having a housewarming party for the new apartment.
Pidetään valmistujaisjuhlat.	Let's have a graduation party.
Ajattelin pitää pikkujoulut.	I was thinking of having a pre-Christmas party.
Juhlat ovat lauantaina 15. marraskuuta.	The party is on Saturday, the 15th of November.
Aloitellaan noin kello 18.	Let's start around 6 PM.
Voit tulla milloin sinulle sopii seitsemän jälkeen.	You can come whenever it suits you after seven.
Paikkana on meidän koti.	The place is our home.
Osoite on Esimerkkikatu 1 A 2.	The address is Esimerkkikatu 1 A 2.
Juhlat jatkuvat myöhään.	The party will go on late.
Sopiiko tämä päivä sinulle?	Does this day work for you?
Kerrothan, jos et pääse.	Please let me know if you can't make it.
Tarjolla on pientä syötävää ja juotavaa.	There will be some snacks and drinks on offer.
Keitän kahvit ja leivon jotain hyvää.	I'll make coffee and bake something nice.
Grillataan, jos sää sallii.	We'll have a barbecue if the weather permits.
Ajattelin tehdä ison kattilallisen keittoa.	I was thinking of making a big pot of soup.
Tuo vain itsesi ja hyvä mieli.	Just bring yourself and a good mood.
Sinun ei tarvitse tuoda mitään.	You don't need to bring anything.
Jos haluat tuoda jotain, voit tuoda vaikka sipsejä.	If you want to bring something, you could bring some crisps, for example.
Juhlat ovat nyyttikestiperiaatteella.	The party is a potluck.
Minä hoidan suolaiset, voisitko sinä tuoda jotain makeaa?	I'll handle the savory stuff, could you bring something sweet?
Ota omat juomat mukaan (O.P.M.).	Bring your own drinks (BYOB).
Muutama ystävä on myös tulossa.	A few other friends are also coming.
Meitä on pieni porukka kasassa.	We'll be a small group.
Tulossa on noin kymmenen henkeä.	About ten people are coming.
Pukukoodi on rento.	The dress code is casual.
Voit pukeutua ihan tavallisesti.	You can dress normally.
Laita jotain vähän juhlavampaa päälle.	Wear something a little more festive.
Meillä on sauna päällä.	We'll have the sauna on.
Ota uikkarit ja pyyhe mukaan, jos haluat saunoa.	Bring a swimsuit and a towel if you want to go to the sauna.
Voin lainata sinulle pyyhkeen.	I can lend you a towel.
Ilmoitathan tulostasi viimeistään perjantaina.	Please confirm your attendance by Friday at the latest.
Vastausta pyydetään (V.P.) 10. päivään mennessä.	RSVP by the 10th.
Kerrothan, pääsetkö tulemaan, ruokamäärän arvioimiseksi.	Please let me know if you can make it, to estimate the amount of food.
Ilmoita myös mahdollisista allergioista.	Also, let me know about any possible allergies.
Toivottavasti pääset paikalle!	I hope you can make it!
Olisi todella kiva nähdä.	It would be really nice to see you.
Nähdään lauantaina!	See you on Saturday!
Tervetuloa juhlimaan kanssamme!	Welcome to celebrate with us!
Jos eksyt, soita minulle.	If you get lost, call me.
Numeroni on 040 123 4567.	My number is 040 123 4567.
