Moi, kuuletko minua hyvin?	Hi, can you hear me well?
Hei, kiva nähdä pitkästä aikaa!	Hey, nice to see you after a long time!
Miten menee?	How's it going?
Kuva pätkii vähän.	The video is lagging a bit.
Yhteys taitaa olla huono.	The connection seems to be bad.
Odota hetki, kokeilen vaihtaa verkkoa.	Wait a moment, I'll try to switch networks.
Nyt toimii paremmin.	Now it's working better.
Mitä sinulle kuuluu?	What's new with you?
Ei mitään erikoista. Samaa vanhaa.	Nothing special. Same old.
Näytät hyvältä!	You look great!
Onko sinulla uusi kampaus?	Do you have a new haircut?
Kiitos samoin!	Thanks, you too!
Missä olet juuri nyt?	Where are you right now?
Olen kotona olohuoneessa.	I'm at home in the living room.
Onpa sinulla siisti tausta.	What a neat background you have.
Laitoin virtuaalitaustan, ettei sotku näy.	I put on a virtual background so the mess doesn't show.
Mitä olet puuhaillut viime aikoina?	What have you been up to lately?
Olen tehnyt paljon töitä.	I've been working a lot.
Kiva, että ehditään jutella.	It's nice that we have time to talk.
Olen kaivannut sinua.	I've missed you.
Milloin viimeksi nähtiin?	When did we last see each other?
Siitä on varmaan jo puoli vuotta.	It must have been half a year already.
Aika rientää.	Time flies.
Oletko katsonut mitään hyviä sarjoja?	Have you watched any good series?
Suosittele jotain katsottavaa.	Recommend something to watch.
Luin juuri mielenkiintoisen kirjan.	I just read an interesting book.
Mitä suunnitelmia sinulla on viikonlopuksi?	What plans do you have for the weekend?
Ajattelin vain rentoutua kotona.	I was just thinking of relaxing at home.
Mennäänkö ensi viikolla kahville?	Should we go for a coffee next week?
Kyllä, ehdottomasti!	Yes, absolutely!
Mikä päivä sopisi sinulle?	What day would suit you?
Minulle sopii tiistai tai torstai.	Tuesday or Thursday works for me.
Sovitaan vaikka torstai.	Let's say Thursday then.
Selvä juttu, palataan silloin asiaan.	Alright, let's get back to it then.
Miten perheesi voi?	How is your family?
Kaikki voivat hyvin, kiitos kysymästä.	Everyone is fine, thanks for asking.
Kerro terveisiä heille.	Say hello to them.
Terveisiä myös sinun perheellesi.	Hello to your family too.
Anteeksi, hetkinen, koira pitää päästää ulos.	Sorry, one moment, I have to let the dog out.
Ei haittaa, odotan.	No problem, I'll wait.
No niin, olen takaisin.	Okay, I'm back.
Mistä me puhuimmekaan?	What were we talking about?
Puhuimme viikonloppusuunnitelmista.	We were talking about weekend plans.
Aivan niin.	That's right.
Oletko matkustellut lähiaikoina?	Have you traveled recently?
En ole, mutta suunnittelen matkaa Espanjaan.	I haven't, but I'm planning a trip to Spain.
Kuulostaa mahtavalta!	Sounds amazing!
Milloin aiot lähteä?	When are you planning to go?
Ehkä syksyllä, kun täällä alkaa olla pimeää.	Maybe in the autumn, when it starts to get dark here.
Se on hyvä idea.	That's a good idea.
Akku loppuu kohta läppäristäni.	The battery on my laptop is about to die.
Minun täytyy hakea laturi.	I need to get the charger.
Ääni kaikuu hieman.	The sound is echoing a bit.
Onko sinulla kuulokkeet? Ne saattaisivat auttaa.	Do you have headphones? They might help.
Kokeillaanpa.	Let's try.
Kuuluuko nyt paremmin?	Can you hear better now?
Kyllä, paljon paremmin.	Yes, much better.
Haluatko nähdä uuden kissanpentuni?	Do you want to see my new kitten?
Totta kai haluan!	Of course I do!
Voi miten suloinen! Mikä sen nimi on?	Oh how cute! What's its name?
Sen nimi on Nöpö.	Its name is Nöpö.
Se on todella leikkisä.	It's really playful.
Onko sinulla ollut kiirettä töissä?	Have you been busy at work?
Kyllä, todella hektistä on ollut.	Yes, it's been really hectic.
Odotan jo lomaa.	I'm already looking forward to the holiday.
Milloin sinulla alkaa loma?	When does your holiday start?
Kolmen viikon päästä.	In three weeks.
Onpa kiva. Olet sen ansainnut.	That's nice. You've earned it.
Kiitos. Samoin sinä.	Thanks. You too.
Minun pitää varmaan alkaa lopetella.	I should probably start wrapping up.
Pitää lähteä laittamaan ruokaa.	I have to go make food.
Okei, ymmärrän.	Okay, I understand.
Oli todella mukava jutella.	It was really nice to talk.
Niin oli, piristi päivää.	Yes it was, it brightened my day.
Pidetään pian yhteyttä uudelleen.	Let's be in touch again soon.
Kyllä, soitellaan ensi viikolla.	Yes, let's call next week.
Hyvä on. Mukavaa illanjatkoa!	Alright. Have a nice evening!
Kiitos samoin! Moikka!	Thanks, you too! Bye!
Heippa!	Bye!
Pysyykö kuva paikallaan?	Is the picture still?
Yritän soittaa sinulle uudestaan.	I'll try to call you again.
Äänesi on todella hiljaisella.	Your voice is really quiet.
Voitko puhua kovempaa?	Can you speak louder?
Nyt en kuule sinua ollenkaan.	Now I can't hear you at all.
Yhteys katkesi.	The connection was lost.
Mitä sanoit? Ääni katkesi hetkeksi.	What did you say? The sound cut out for a moment.
Näytänkö minä sinulle jotain?	Should I show you something?
Katso, mitä ostin eilen.	Look what I bought yesterday.
Onpa hieno! Mistä löysit sen?	That's so nice! Where did you find it?
Kirpputorilta, uskoisitko?	From a flea market, can you believe it?
Mikä löytö!	What a find!
Meidän täytyy mennä joskus yhdessä kirpputorille.	We should go to a flea market together sometime.
Se olisi hauskaa!	That would be fun!
Olen pahoillani, minun on nyt mentävä.	I'm sorry, I have to go now.
Ei se mitään, soitellaan.	No worries, let's talk later.
Pidä huolta itsestäsi.	Take care of yourself.
Sinä myös.	You too.
Lähetä viestiä myöhemmin.	Send a message later.
Teen niin.	I will do that.
Nähdään pian!	See you soon!
Kamerasi on pois päältä.	Your camera is off.
Laitatko kameran päälle?	Will you turn on the camera?
Olet mykistettynä.	You are on mute.
Ota mykistys pois.	Unmute yourself.
Olen pahoillani myöhästymisestäni, oli vähän teknisiä ongelmia.	I'm sorry for being late, I had some technical difficulties.
Juttelu kanssasi piristää aina.	Talking with you always cheers me up.
Mitä olet syönyt tänään?	What have you eaten today?
Näytän vähän väsyneeltä, koska heräsin aikaisin.	I look a bit tired because I woke up early.
Onko kaikki hyvin? Näytät mietteliäältä.	Is everything alright? You look thoughtful.
Soitellaan taas pian.	Let's call again soon.
Oli ihana kuulla sinusta.	It was lovely to hear from you.
