Haluaisin lainata nämä kirjat.	I would like to borrow these books.
Tässä on kirjastokorttini.	Here is my library card.
Olen palauttamassa näitä kirjoja.	I am returning these books.
Mikä on laina-aika?	What is the loan period?
Voinko uusia lainani?	Can I renew my loans?
Mistä löydän uutuudet?	Where can I find the new arrivals?
Onko tämä kirja saatavilla?	Is this book available?
Haluaisin tehdä varauksen tähän kirjaan.	I would like to make a reservation for this book.
Miten lainausautomaatti toimii?	How does the self-service checkout machine work?
Unohdin kirjastokorttini kotiin.	I forgot my library card at home.
Milloin tämä kirja pitää palauttaa viimeistään?	When is this book due to be returned at the latest?
Sain muistutusviestin eräpäivästä.	I received a reminder message about the due date.
Voinko palauttaa kirjat toiseen kirjastoon?	Can I return the books to another library?
Etsin kirjoja aiheesta Suomen historia.	I'm looking for books on the topic of Finnish history.
Missä on lastenkirjojen osasto?	Where is the children's books section?
Tämä kirja on vaurioitunut.	This book is damaged.
Kuinka paljon myöhästymismaksut ovat?	How much are the late fees?
Voinko maksaa sakot kortilla?	Can I pay the fines with a card?
Sain ilmoituksen, että varaukseni on saapunut.	I received a notification that my reservation has arrived.
Mistä voin noutaa varatut kirjat?	Where can I pick up reserved books?
Onko kirjastossa hiljainen lukusali?	Is there a quiet reading room in the library?
Voiko täällä tulostaa?	Is it possible to print here?
Tarvitsen apua tiedonhakuun.	I need help with information retrieval.
Kirja, jota etsin, ei ole hyllyssä.	The book I'm looking for is not on the shelf.
Onko teillä englanninkielisiä sanomalehtiä?	Do you have newspapers in English?
Haluaisin lainata myös tämän DVD-levyn.	I would also like to borrow this DVD.
Mikä on kirjaston Wi-Fi-verkon salasana?	What is the password for the library's Wi-Fi network?
Järjestättekö te satutunteja lapsille?	Do you organize story hours for children?
Täytyykö minun rekisteröityä asiakkaaksi?	Do I need to register as a customer?
Olen kadottanut kirjastosta lainatun kirjan.	I have lost a book I borrowed from the library.
Paljonko uusi kirjastokortti maksaa?	How much does a new library card cost?
Palautusluukku on tuolla ulkopuolella.	The book drop is over there, outside.
Voit käyttää palautusautomaattia.	You can use the return machine.
Aseta kirjat yksitellen automaattiin.	Place the books one by one into the machine.
Haluatko kuitin palautuksesta?	Do you want a receipt for the return?
Lainojen uusiminen onnistuu myös verkkokirjastossa.	Renewing loans is also possible in the online library.
Tätä teosta ei voi lainata kotiin.	This work cannot be borrowed for home use.
Se on lukusalikappale.	It is a reading room copy.
Missä on neuvontapiste?	Where is the information desk?
Kirjastonhoitaja voi auttaa sinua.	The librarian can help you.
Etsin esikoiskirjailijan teosta.	I'm looking for a debut author's work.
Onko teillä äänikirjoja?	Do you have audiobooks?
Nämä kirjat ovat menossa hyllyyn.	These books are going to be shelved.
Lainani erääntyvät huomenna.	My loans are due tomorrow.
Haluaisin selata dekkareita.	I would like to browse crime novels.
Onko tämä paikka vapaa?	Is this seat free?
Puhukaa hiljempaa, kiitos.	Please speak more quietly.
Kirjasto menee kiinni viideltätoista.	The library closes in fifteen minutes.
Voinko saada muovikassin kirjoille?	Can I get a plastic bag for the books?
Tässä on kuitti lainoistasi.	Here is the receipt for your loans.
Muista palauttaa kirjat ajoissa.	Remember to return the books on time.
Tämä kirja on todella suosittu.	This book is very popular.
Siihen on pitkä varausjono.	There is a long reservation queue for it.
Voitko tarkistaa nimeni järjestelmästä?	Can you check my name in the system?
Henkilöllisyystodistus kelpaa kirjastokortin sijaan.	An ID card is acceptable instead of a library card.
Missä hyllyssä romaanit ovat?	In which shelf are the novels?
Tietokirjallisuus on yläkerrassa.	Non-fiction is upstairs.
Musiikkiosasto on kellarikerroksessa.	The music department is in the basement.
Onko teillä kaukopalvelua?	Do you have an interlibrary loan service?
Haluaisin tilata kirjan toisesta kaupungista.	I would like to order a book from another city.
Kuinka kauan kaukolainassa kestää?	How long does an interlibrary loan take?
Voinko lainata lehtiä kotiin?	Can I borrow magazines to take home?
Uusimmat numerot ovat vain lukusalikäyttöön.	The newest issues are for reading room use only.
Voinko saada apua tämän koneen kanssa?	Can I get help with this machine?
