Lähden lenkille.	I'm going for a run.
Käyn pienellä hölkällä.	I'm going for a short jog.
Haluatko tulla mukaan juoksemaan?	Do you want to come for a run?
Mennäänkö juoksemaan?	Shall we go for a run?
On täydellinen sää lenkkeilyyn.	It's perfect weather for jogging.
Minun täytyy venytellä ensin.	I need to stretch first.
Laitatko juoksukengät jalkaan?	Are you putting on your running shoes?
Mikä on suosikkilenkkipolkusi?	What's your favorite running trail?
Juoksen mieluummin metsässä kuin tiellä.	I prefer running in the forest over the road.
Kuinka pitkän matkan aiot juosta tänään?	How far are you planning to run today?
Tavoitteeni on viisi kilometriä.	My goal is five kilometers.
Pidän yleensä tasaista vauhtia.	I usually keep a steady pace.
Kuuntelen musiikkia juostessani.	I listen to music when I run.
Onko sinulla hyvä soittolista juoksemiseen?	Do you have a good playlist for running?
Minun täytyy muistaa ottaa vesipullo mukaan.	I must remember to take a water bottle with me.
Tämä ylämäki on haastava.	This uphill is challenging.
Olen aivan hengästynyt.	I'm completely out of breath.
Pidetään pieni tauko.	Let's take a short break.
Jalat tuntuvat hyviltä tänään.	My legs feel good today.
Venyttelen aina juoksun jälkeen.	I always stretch after running.
Se auttaa estämään lihaskipuja.	It helps to prevent muscle soreness.
Tunnen itseni niin energiseksi lenkin jälkeen.	I feel so energetic after a run.
Juokseminen auttaa minua selvittämään ajatuksiani.	Running helps me clear my head.
Harjoittelen puolimaratonia varten.	I'm training for a half-marathon.
Onko sinulla urheilukelloa matkan mittaamiseen?	Do you have a sports watch to track the distance?
Tarkistan sykkeeni säännöllisesti.	I check my heart rate regularly.
Tämä reitti on todella kaunis.	This route is really beautiful.
Juostaan järven ympäri.	Let's run around the lake.
Auringonlasku on upea täällä.	The sunset is gorgeous here.
Varovasti, polku on liukas.	Be careful, the path is slippery.
Tarvitsen uudet juoksukengät.	I need new running shoes.
Nämä vanhat ovat jo kuluneet loppuun.	These old ones are already worn out.
Hyvät kengät ovat tärkeä investointi.	Good shoes are an important investment.
Lähden mieluiten juoksemaan aikaisin aamulla.	I prefer to go running early in the morning.
Ilma on niin raikas aamuisin.	The air is so fresh in the mornings.
Joskus juoksen myös myöhään illalla.	Sometimes I also run late in the evening.
Pimeällä on tärkeää käyttää heijastinta.	It's important to wear a reflector in the dark.
Minulla on heijastinliivi turvallisuuden vuoksi.	I have a reflective vest for safety.
Otsalamppu on hyödyllinen pimeillä poluilla.	A headlamp is useful on dark trails.
Intervalliharjoittelu on tehokasta.	Interval training is effective.
Se parantaa nopeutta ja kestävyyttä.	It improves speed and endurance.
Juoksen kovaa minuutin ja sitten hölkkään kaksi.	I run hard for a minute and then jog for two.
Miten usein sinä käyt juoksemassa?	How often do you go running?
Yritän käydä kolme tai neljä kertaa viikossa.	I try to go three or four times a week.
Lepopäivät ovat yhtä tärkeitä kuin treenipäivät.	Rest days are as important as training days.
Kehoni tarvitsee aikaa palautua.	My body needs time to recover.
Sain hiertymän kantapäähäni.	I got a blister on my heel.
Minun olisi pitänyt käyttää parempia sukkia.	I should have worn better socks.
Tuntuuko sinusta hyvältä jatkaa?	Do you feel okay to continue?
Voimme hidastaa vauhtia, jos haluat.	We can slow down the pace if you want.
Ei, tämä vauhti on hyvä.	No, this pace is fine.
Vielä yksi kilometri jäljellä.	One more kilometer to go.
Jaksaa, jaksaa!	Keep going, you can do it!
Olemme melkein perillä.	We are almost there.
Loppukiri!	Final push!
Hyvä treeni!	Good workout!
Olen todella ylpeä meistä.	I'm really proud of us.
Tuntuu mahtavalta.	It feels amazing.
Nyt ansaitsen lämpimän suihkun.	Now I deserve a warm shower.
Mitä sinä yleensä syöt juoksun jälkeen?	What do you usually eat after a run?
Proteiinipirtelö on hyvä palautumiseen.	A protein shake is good for recovery.
Minun täytyy tankata hiilihydraatteja.	I need to reload on carbohydrates.
Kevyt hölkkä on hyvä tapa aloittaa päivä.	A light jog is a great way to start the day.
Juokseminen sateessa voi olla virkistävää.	Running in the rain can be refreshing.
En anna sään pysäyttää minua.	I don't let the weather stop me.
Talvella tarvitaan nastakengät.	In the winter, you need studded shoes.
Juokseminen lumessa on raskasta mutta hauskaa.	Running in the snow is tough but fun.
Muista pukeutua kerroksittain.	Remember to dress in layers.
Villapaita on hyvä aluskerros.	A wool shirt is a good base layer.
Tuulenpitävä takki on välttämätön.	A windproof jacket is essential.
Keskity hengitykseesi.	Focus on your breathing.
Hengitä syvään nenän kautta sisään ja suun kautta ulos.	Breathe deeply in through your nose and out through your mouth.
Hyvä ryhti tekee juoksemisesta helpompaa.	Good posture makes running easier.
Pidä hartiat rentoina.	Keep your shoulders relaxed.
Tämä on pisin matka, jonka olen koskaan juossut.	This is the longest distance I have ever run.
Rikoin oman ennätykseni.	I broke my own record.
On hienoa nähdä edistystä.	It's great to see progress.
Juoksuryhmään liittyminen voi olla motivoivaa.	Joining a running group can be motivating.
On mukavaa juosta muiden kanssa.	It's nice to run with other people.
Voimme kannustaa toisiamme.	We can encourage each other.
Mihin aikaan tavataan huomenna?	What time shall we meet tomorrow?
Sopiiko kello kuusi aamulla?	Does six in the morning work for you?
Täydellistä, nähdään silloin.	Perfect, see you then.
Älä unohda juoda tarpeeksi vettä päivän aikana.	Don't forget to drink enough water during the day.
Nesteytys on avainasemassa.	Hydration is key.
Polveni tuntuu hieman aralta.	My knee feels a bit tender.
Pitäisikö minun pitää taukoa juoksemisesta?	Should I take a break from running?
Kevyt kävely voisi olla parempi vaihtoehto.	A light walk might be a better option.
Kuuntele kehoasi.	Listen to your body.
Juoksu on 90% henkistä.	Running is 90% mental.
Se opettaa sinnikkyyttä.	It teaches perseverance.
En ajattele mitään, annan vain jalkojeni viedä.	I don't think about anything, I just let my legs carry me.
Tämä on minun meditaationi.	This is my meditation.
Luonnon äänet ovat rauhoittavia.	The sounds of nature are calming.
Lintujen laulu on parasta musiikkia.	Birdsong is the best music.
Olenko jo puolivälissä?	Am I halfway there yet?
Kyllä, käännytään tästä takaisin.	Yes, let's turn back from here.
Paluumatka tuntuu aina lyhyemmältä.	The way back always feels shorter.
Olen iloinen, että lähdimme.	I'm glad we went.
Tämä teki todella hyvää.	This felt really good.
Huomiseen!	Until tomorrow!
Nauti juoksustasi!	Enjoy your run!
