Herätyskello soi kuudelta.	The alarm clock rings at six.
Painoin torkkunappia kolme kertaa.	I pressed the snooze button three times.
On vaikea nousta sängystä.	It's hard to get out of bed.
Tunnen itseni virkeäksi tänä aamuna.	I feel refreshed this morning.
Venytin jäseniäni ennen ylösnousua.	I stretched my limbs before getting up.
Avasin silmäni ja katsoin kelloa.	I opened my eyes and looked at the clock.
Olisin voinut nukkua pidempään.	I could have slept longer.
Nousen yleensä heti kun herään.	I usually get up as soon as I wake up.
Petaatko sänkysi joka aamu?	Do you make your bed every morning?
Aurinko paistaa ikkunasta sisään.	The sun is shining in through the window.
Menen ensimmäisenä suihkuun.	The first thing I do is take a shower.
Pesen hampaani ja kasvoni.	I brush my teeth and wash my face.
Käytän sähköhammasharjaa.	I use an electric toothbrush.
Onko sinulla hiustenkuivaajaa?	Do you have a hairdryer?
Kampaan hiukseni.	I'm combing my hair.
Ajoin partani.	I shaved my beard.
Laitoin vähän meikkiä.	I put on a little makeup.
Valitsen vaatteet päivää varten.	I'm choosing my clothes for the day.
Pukeudun töihin.	I'm getting dressed for work.
Missä puhdas pyyhe on?	Where is a clean towel?
Keitän kupin kahvia joka aamu.	I make a cup of coffee every morning.
Haluatko teetä vai kahvia?	Do you want tea or coffee?
Syön aamiaiseksi kaurapuuroa marjoilla.	I eat oatmeal with berries for breakfast.
Paahdan leipää ja laitan päälle juustoa.	I'm toasting bread and putting cheese on it.
Luen uutiset puhelimestani aamiaisen aikana.	I read the news on my phone during breakfast.
Aamiainen on päivän tärkein ateria.	Breakfast is the most important meal of the day.
Juon lasin appelsiinimehua.	I'm drinking a glass of orange juice.
Pitää syödä jotain ennen kuin lähden.	I have to eat something before I leave.
Tiskiallas on täynnä astioita.	The sink is full of dishes.
Onko jääkaapissa maitoa?	Is there milk in the fridge?
Minun täytyy lähteä viiden minuutin kuluttua.	I have to leave in five minutes.
Missä avaimeni ovat?	Where are my keys?
Tarkistin, että kaikki valot ovat pois päältä.	I checked that all the lights were off.
Laitoin kengät jalkaan ja takin päälle.	I put on my shoes and coat.
Otan sateenvarjon mukaan varmuuden vuoksi.	I'll take an umbrella just in case.
Olen myöhässä!	I'm late!
Lukitsin oven lähtiessäni.	I locked the door when I left.
