Mitä tänään syötäisiin aamiaiseksi?	What should we have for breakfast today?
Keitän kahvia, haluatko kupillisen?	I'm making coffee, would you like a cup?
Voisitko laittaa vedenkeittimen päälle teetä varten?	Could you put the kettle on for tea?
Syön yleensä kaurapuuroa aamiaiseksi.	I usually eat oatmeal for breakfast.
Lisäätkö puuroosi marjoja vai hilloa?	Do you add berries or jam to your porridge?
Paistaisimmeko kananmunia ja pekonia?	Should we fry some eggs and bacon?
Minä paahdan leipää.	I'll toast some bread.
Onko meillä tuoremehua?	Do we have any fresh juice?
Kaapissa pitäisi olla appelsiinimehua.	There should be orange juice in the cupboard.
Haluan keitetyn munan, joka on kypsä.	I want a hard-boiled egg.
Voitko ojentaa minulle voin?	Can you pass me the butter?
Mistä juustohöylä löytyy?	Where can I find the cheese slicer?
Tämä kahvi on todella hyvää.	This coffee is really good.
Kattaisitko pöydän, kun minä valmistan aamiaisen?	Would you set the table while I prepare breakfast?
Tarvitsemme lautaset, aterimet ja lasit.	We need plates, cutlery, and glasses.
Laitan lautasliinat esille.	I'll put out the napkins.
Aamiainen on päivän tärkein ateria.	Breakfast is the most important meal of the day.
Nämä sämpylät ovat juuri uunista tulleita.	These rolls are fresh from the oven.
Haluatko leivällesi juustoa vai leikkelettä?	Do you want cheese or cold cuts on your bread?
Lisään jogurttiini mysliä ja hunajaa.	I add granola and honey to my yogurt.
Tämä smoothie on virkistävä.	This smoothie is refreshing.
Onko maito laktoositonta?	Is the milk lactose-free?
Kaada minullekin lasi vettä, kiitos.	Pour me a glass of water too, please.
Syödäänkö aamiainen parvekkeella?	Shall we have breakfast on the balcony?
Tänään on niin kaunis aamu.	It's such a beautiful morning today.
En ehdi syödä kunnolla, otan vain banaanin.	I don't have time to eat properly, I'll just have a banana.
Viikonloppuisin on ihana nauttia pitkästä aamiaisesta.	On weekends, it's lovely to enjoy a long breakfast.
Pannukakut olisivat herkullisia.	Pancakes would be delicious.
Tarvitsemme vaahterasiirappia pannukakkujen kanssa.	We need maple syrup with the pancakes.
Minä voin tiskata aamiaisen jälkeen.	I can do the dishes after breakfast.
Laitatko likaiset astiat tiskikoneeseen?	Will you put the dirty dishes in the dishwasher?
Pyyhin pöydän.	I'll wipe the table.
Onko kahvi jo valumassa?	Is the coffee brewing already?
Kuinka monta minuuttia munia pitää keittää?	How many minutes should the eggs be boiled?
Pidän munistani löysinä.	I like my eggs runny.
Tämä pekoni on täydellisen rapeaa.	This bacon is perfectly crispy.
Voisitko viipaloida kurkkua ja tomaattia leivän päälle?	Could you slice some cucumber and tomato for the bread?
Maistuisiko croissantti?	Would you like a croissant?
Kävin aamulla hakemassa tuoretta leipää leipomosta.	I went to the bakery this morning to get fresh bread.
Syön aamiaiseni aina samaan aikaan.	I always eat my breakfast at the same time.
Lapset syövät muroja maidon kanssa.	The children are eating cereal with milk.
Tarvitsen enemmän sokeria teeheni.	I need more sugar in my tea.
En juo kahvia, juon mieluummin vihreää teetä.	I don't drink coffee, I prefer green tea.
Tämä maustamaton jogurtti on hyvää hedelmien kanssa.	This plain yogurt is good with fruit.
Otan vain kupin kahvia mustana.	I'll just have a cup of black coffee.
Onko meillä jäljellä mitään hedelmiä?	Do we have any fruit left?
Omena päivässä pitää lääkärin loitolla.	An apple a day keeps the doctor away.
Täytyy muistaa ostaa lisää kahvia kaupasta.	I must remember to buy more coffee from the store.
Aamiaisen jälkeen olen valmis aloittamaan päivän.	After breakfast, I'm ready to start the day.
Luin sanomalehteä aamiaisen aikana.	I read the newspaper during breakfast.
Onko puuro jo valmista?	Is the porridge ready yet?
Lisään ripauksen suolaa puuroon.	I add a pinch of salt to the porridge.
Tämä greippimehu on hieman kirpeää.	This grapefruit juice is a bit tart.
Haluatko paahtoleipähilloa?	Do you want jam for your toast?
Mansikkahillo on suosikkini.	Strawberry jam is my favorite.
Kello on jo paljon, meidän täytyy kiirehtiä.	It's already late, we need to hurry.
Syön aamiaisen mieluiten rauhassa.	I prefer to eat my breakfast in peace.
Voitko laittaa leivänpaahtimen päälle?	Can you turn on the toaster?
Varo, ettei leipä pala.	Be careful not to burn the toast.
Tykkään juoda aamukahvini kuumana.	I like to drink my morning coffee hot.
Laitatko minullekin lautasen valmiiksi?	Will you get a plate ready for me too?
Tänään tekee mieli jotain suolaista aamiaiseksi.	Today I'm craving something savory for breakfast.
Riisipiirakka munavoilla on klassikko.	A Karelian pie with egg butter is a classic.
Lämmitetäänkö eilisiä sämpylöitä?	Shall we warm up yesterday's rolls?
