Etsin lentoja Helsingistä Lontooseen.	I am searching for flights from Helsinki to London.
Valitse lähtöpäivä ja paluupäivä.	Select the departure and return dates.
Haluaisin yhdensuuntaisen lennon.	I would like a one-way flight.
Tarvitsen menopaluulipun.	I need a round-trip ticket.
Kuinka monta matkustajaa?	How many passengers?
Yksi aikuinen ja kaksi lasta.	One adult and two children.
Etsi lentoja.	Search for flights.
Halvin hinta löytyi.	The cheapest price was found.
Valitse tämä lento.	Select this flight.
Lennon tiedot.	Flight details.
Lähtö: Helsinki (HEL) klo 08:30.	Departure: Helsinki (HEL) at 08:30.
Saapuminen: Lontoo (LHR) klo 10:00.	Arrival: London (LHR) at 10:00.
Lennon kesto on 3 tuntia 30 minuuttia.	The flight duration is 3 hours and 30 minutes.
Välilasku Tukholmassa (ARN).	Layover in Stockholm (ARN).
Syötä matkustajien tiedot.	Enter passenger details.
Etunimi ja sukunimi kuten passissa.	First name and last name as in the passport.
Syntymäaika (pp.kk.vvvv).	Date of birth (dd.mm.yyyy).
Kansalaisuus.	Nationality.
Passin numero ja voimassaoloaika.	Passport number and expiry date.
Lisää matkatavaroita.	Add baggage.
Yksi ruumaan menevä laukku, enintään 23 kg.	One checked bag, max 23 kg.
Käsimatkatavara sisältyy hintaan.	Carry-on baggage is included in the price.
Valitse istumapaikkasi.	Choose your seat.
Ikkunapaikka vai käytäväpaikka?	Window seat or aisle seat?
Haluan istua ystäväni vieressä.	I want to sit next to my friend.
Lisäpalvelut.	Additional services.
Ateria lennolla.	In-flight meal.
Ota matkavakuutus.	Get travel insurance.
Siirry maksamaan.	Proceed to payment.
Yhteenveto varauksesta.	Booking summary.
Tarkista, että kaikki tiedot ovat oikein.	Please check that all information is correct.
Maksa luottokortilla.	Pay with a credit card.
Kortin numero.	Card number.
Voimassaoloaika ja turvakoodi.	Expiration date and security code.
Hyväksy käyttöehdot.	Accept the terms and conditions.
Vahvista ja maksa.	Confirm and pay.
Varaus on vahvistettu.	Your booking is confirmed.
Saat varausvahvistuksen sähköpostiisi.	You will receive a booking confirmation in your email.
Lippusi on sähköinen lippu (e-lippu).	Your ticket is an electronic ticket (e-ticket).
Muista tehdä lähtöselvitys ennen lentoa.	Remember to check in before your flight.
Lähtöselvitys avautuu 24 tuntia ennen lähtöä.	Check-in opens 24 hours before departure.
Voit tulostaa tarkastuskorttisi tai käyttää mobiilikorttia.	You can print your boarding pass or use a mobile boarding pass.
Mistä löydän varaukseni?	Where can I find my booking?
Kirjaudu sisään nähdäksesi varauksesi.	Log in to see your bookings.
Varausnumero.	Booking reference number.
Lennon tila.	Flight status.
Onko lentoni ajallaan?	Is my flight on time?
Lento on peruttu.	The flight is cancelled.
Lento on myöhässä.	The flight is delayed.
Etsi toinen lento.	Search for another flight.
Joustavat päivämäärät.	Flexible dates.
Haluaisin suoran lennon.	I would like a direct flight.
Näytä vain suorat lennot.	Show direct flights only.
Lajittele hinnan mukaan.	Sort by price.
Lajittele keston mukaan.	Sort by duration.
Lipputyyppi: Economy.	Ticket type: Economy.
Lipputyyppi: Business.	Ticket type: Business.
Voinko muuttaa varaustani myöhemmin?	Can I change my booking later?
Muutosmaksu saattaa olla voimassa.	A change fee may apply.
Peruuta lento.	Cancel flight.
Peruutusehdot.	Cancellation policy.
Haluatko vuokrata auton?	Do you want to rent a car?
Varaa hotelli samalla.	Book a hotel at the same time.
Matkustajan tiedot ovat virheelliset.	The passenger information is incorrect.
Korjaa tiedot.	Correct the information.
Maksutapa.	Payment method.
Verkkopankkimaksu.	Online bank payment.
Lasku.	Invoice.
Osamaksu.	Installment payment.
Hinta sisältää verot ja maksut.	The price includes taxes and fees.
Ei piilotettuja kuluja.	No hidden fees.
Lennon tarjoaa Finnair.	The flight is operated by Finnair.
Operoi British Airways.	Operated by British Airways.
Mikä on matkatavaroiden enimmäispaino?	What is the maximum baggage weight?
Voinko ottaa lemmikin mukaan?	Can I bring a pet?
Erityisavun tarve.	Need for special assistance.
Pyörätuoli lentoasemalla.	Wheelchair at the airport.
Matkustan sylilapsen kanssa.	I am travelling with an infant.
Alle 2-vuotiaat matkustavat sylissä.	Children under 2 years old travel on an adult's lap.
Tarvitseeko lapsi oman paikan?	Does the child need their own seat?
Lennolla on Wi-Fi-yhteys.	There is Wi-Fi on the flight.
Viihdejärjestelmä.	Entertainment system.
Tarkista lähtöterminaali.	Check the departure terminal.
Lento lähtee terminaalista 2.	The flight departs from Terminal 2.
Miten voin ottaa yhteyttä asiakaspalveluun?	How can I contact customer service?
Asiakaspalvelun puhelinnumero.	Customer service phone number.
Usein kysytyt kysymykset.	Frequently asked questions.
Vahvistusnumero on lähetetty tekstiviestillä.	The confirmation number has been sent via SMS.
Sähköpostiosoite on virheellinen.	The email address is incorrect.
