Mitä kuuluu?	How are you?
Hyvää, kiitos. Entä sinulle?	Good, thanks. And you?
Ei mitään erikoista.	Nothing special.
Miten menee?	How's it going?
Ihan hyvin.	Quite well.
Mukavasti.	Nicely.
Eipä kummempia.	Nothing special. / Nothing much. / Just the normal stuff. (downplayed)
Pitkästä aikaa.	Long time, no see.
Hauska nähdä.	Nice to see you.
Samoin.	Likewise.
Mitäs tässä.	Not much. / Oh, you know. / Ticking along. / Here I am. (casual, focused on the now)
Kiitos kysymästä, hyvää kuuluu.	Thanks for asking, I'm doing well.
Entä itsellesi?	And yourself?
Huomenta.	Good morning.
Hyvää päivää.	Good day.
Iltaa.	Good evening.
Hyvää yötä.	Good night.
Näkemiin.	Goodbye.
Nähdään myöhemmin.	See you later.
Hei hei.	Bye bye.
Moikka.	Bye.
Moi.	Hi.
Terve.	Hello.
Kuulemiin.	Talk to you later. (on the phone)
Palataan asiaan.	Let's get back to it.
Soitellaan.	Let's call each other.
Pidetään yhteyttä.	Let's keep in touch.
Anteeksi, että olen myöhässä.	Sorry I'm late.
Ei se mitään.	It's nothing. / No worries.
Oletko kunnossa?	Are you okay?
Kaikki hyvin.	Everything is fine.
Mikä hätänä?	What's wrong?
Ei mikään.	Nothing.
Tsemppiä!	Good luck! / Keep it up!
Kiitos samoin.	Thanks, you too.
Voikaa hyvin.	Take care (plural/formal).
Voi hyvin.	Take care (singular/informal).
Parane pian.	Get well soon.
Onnittelut!	Congratulations!
Paljon onnea!	Congratulations! / Best of luck!
Tervetuloa.	Welcome.
Kiitos avusta.	Thanks for the help.
Eipä kestä.	You're welcome. / Don't mention it.
Ole hyvä.	You're welcome. / Here you go.
Anteeksi, voitko toistaa?	Excuse me, can you repeat that?
Hetkinen vain.	Just a moment.
Pieni hetki.	One moment.
Sään puolesta, kaunis päivä.	Speaking of the weather, it's a beautiful day.
Niinpä.	Indeed.
Aivan.	Exactly.
Totta.	True.
Olet oikeassa.	You are right.
Samaa mieltä.	I agree.
En ole samaa mieltä.	I don't agree.
Ehkä.	Maybe.
Katsotaan.	We'll see.
En osaa sanoa.	I can't say.
Riippuu tilanteesta.	It depends on the situation.
Jaa, enpä tiedä.	Well, I don't know.
Mielenkiintoista.	Interesting.
Ahaa.	I see.
Ymmärrän.	I understand.
Selvä.	Okay. / Clear.
Sopiiko se?	Is that okay?
Sopii hyvin.	That suits me fine.
Minulle käy.	That works for me.
Mitä uutta?	What's new?
Ei juuri mitään.	Not much really.
Samaa vanhaa.	Same old, same old.
Miten viikonloppu meni?	How was your weekend?
Mennäänkö kahville?	Shall we go for a coffee?
Kiva idea.	Nice idea.
Ensi kerralla sitten.	Next time then.
Minun täytyy nyt mennä.	I have to go now.
On ollut mukavaa.	It's been nice.
Kiitos seurasta.	Thanks for the company.
Pärjäile.	Take it easy.
Kaunista päivänjatkoa.	Have a nice rest of the day.
Hyvää viikonloppua.	Have a good weekend.
Siistiä!	Cool!
Mahtavaa!	Awesome!
Upeaa!	Fantastic!
Voi harmi.	What a shame.
Otan osaa.	My condolences.
Tsemppiä tenttiin.	Good luck with the exam.
Onnea uuteen kotiin.	Congratulations on the new home.
Mitä kuuluu perheelle?	How is the family?
Terveisiä heille.	Say hello to them.
Välitän terveiset.	I'll pass on the greetings.
Oletko tulossa mukaan?	Are you coming along?
En valitettavasti ehdi.	Unfortunately, I don't have time.
Ehkä toiste.	Maybe some other time.
Tavataanko huomenna?	Shall we meet tomorrow?
Kyllä, se sopii.	Yes, that works.
Mihin aikaan?	At what time?
Noin kuudelta.	Around six.
Nähdään siellä.	See you there.
Selvä juttu.	Alright.
Jep.	Yep.
Juu.	Yeah.
Niin.	Yes. / So.
No niin.	Alright then.
No jaa.	Well...
Kiva kuulla.	Nice to hear.
