Anteeksi, voitteko auttaa minua?	Excuse me, can you help me?
Olen eksyksissä.	I'm lost.
Miten pääsen osoitteeseen [katuosoite]?	How do I get to the address [street address]?
Etsin tätä paikkaa.	I'm looking for this place.
Missä on lähin raitiovaunupysäkki?	Where is the nearest tram stop?
Voitteko näyttää minulle kartalta?	Can you show me on the map?
Kuinka kaukana se on?	How far is it?
Onko tämä oikea suunta keskustaan?	Is this the right way to the city center?
Anteeksi, missä on rautatieasema?	Excuse me, where is the train station?
Etsin linja-autoasemaa.	I'm looking for the bus station.
Tiedättekö, missä on Kansallismuseo?	Do you know where the National Museum is?
Miten löydän Tuomiokirkolle?	How can I find the Cathedral?
Onko täällä lähellä hyvää ravintolaa?	Is there a good restaurant near here?
Missä on lähin pankkiautomaatti?	Where is the nearest ATM?
Pitääkö minun mennä suoraan eteenpäin?	Should I go straight ahead?
Käänny seuraavasta kulmasta oikealle.	Turn right at the next corner.
Käänny vasemmalle liikennevaloista.	Turn left at the traffic lights.
Se on tien toisella puolella.	It's on the other side of the road.
Kuinka monta korttelia on matkaa?	How many blocks away is it?
Se on aivan nurkan takana.	It's just around the corner.
Voinko kävellä sinne?	Can I walk there?
Kauanko sinne kestää kävellen?	How long does it take to walk there?
Mikä bussi menee satamaan?	Which bus goes to the harbor?
Pääseekö tänne metrolla?	Can I get here by metro?
Mikä on seuraava pysäkki?	What is the next stop?
Minun täytyy jäädä pois tällä pysäkillä.	I need to get off at this stop.
Olen menossa väärään suuntaan.	I'm going in the wrong direction.
Tämä katu on nimeltään...	This street is called...
Etsin hotellia nimeltä [hotellin nimi].	I'm looking for a hotel called [hotel name].
Onko se kaukana täältä?	Is it far from here?
Se on hyvin lähellä.	It's very close.
Jatka suoraan noin 200 metriä.	Continue straight for about 200 meters.
Näet sen vasemmalla puolellasi.	You will see it on your left.
Se on suuren tavaratalon vieressä.	It's next to the big department store.
Mene sillan yli.	Go over the bridge.
Kulje puiston läpi.	Walk through the park.
Ylitä katu suojatietä pitkin.	Cross the street at the crosswalk.
Voitteko kirjoittaa osoitteen ylös?	Could you write down the address?
Puhutteko englantia?	Do you speak English?
En ymmärrä suomea kovin hyvin.	I don't understand Finnish very well.
Voisitteko puhua hitaammin, kiitos?	Could you speak more slowly, please?
Kiitos paljon avusta!	Thank you very much for your help!
Arvostan apuanne.	I appreciate your help.
Anteeksi, vielä yksi kysymys.	Sorry, one more question.
Onko tämä tie yksisuuntainen?	Is this a one-way street?
Missä on lähin julkinen vessa?	Where is the nearest public restroom?
Etsin matkailuneuvontaa.	I'm looking for the tourist information office.
Onko karttaanne kaupungista?	Do you have a map of the city?
