Mitä sinä teet työksesi?	What do you do for a living?
Olen ohjelmistokehittäjä.	I am a software developer.
Työskentelen sairaanhoitajana paikallisessa sairaalassa.	I work as a nurse at the local hospital.
Vastuullani on asiakaspalvelutiimi.	I am in charge of the customer service team.
Työhöni kuuluu erilaisten projektien hallinnointi.	My job involves managing various projects.
Toimin projektipäällikkönä IT-alalla.	I work as a project manager in the IT sector.
Teen markkinointia ja vastaan yrityksemme viestinnästä.	I do marketing and I'm responsible for our company's communications.
Olen vastuussa myynnistä Pohjoismaiden alueella.	I am responsible for sales in the Nordic region.
Teen pääasiassa etätöitä kotoa käsin.	I mainly work remotely from home.
Olen kymmenen hengen tiimin vetäjä.	I am the leader of a ten-person team.
Tehtäväni on varmistaa tuotannon sujuvuus ja laatu.	My task is to ensure the smoothness and quality of production.
Olen pienyrittäjä ja pyöritän omaa kahvilaa.	I am a small business owner and run my own café.
Pidän säännöllisesti kokouksia ja koulutuksia henkilöstölle.	I regularly hold meetings and training for the staff.
Analysoin myyntidataa ja laadin siitä raportteja johdolle.	I analyze sales data and prepare reports on it for the management.
Työni on hyvin itsenäistä ja saan suunnitella omat aikatauluni.	My work is very independent and I get to plan my own schedules.
Teen tiivistä yhteistyötä tuotekehitysosaston kanssa.	I work in close collaboration with the product development department.
Vastuullani on uusien työntekijöiden perehdyttäminen.	My responsibility is to onboard new employees.
Hoidan yrityksen juoksevaa laskutusta ja reskontraa.	I handle the company's current invoicing and accounts receivable.
Vastaan päivittäin lukuisiin sähköposteihin ja puheluihin.	I answer numerous emails and phone calls daily.
Järjestän asiakastapahtumia ja messuosallistumisia.	I organize customer events and trade fair participations.
Olen henkilöstöpäällikkö ja vastuussa rekrytoinneista.	I am a human resources manager and responsible for recruitment.
Työni sisältää jonkin verran matkustamista kotimaassa.	My job includes some domestic travel.
Suunnittelen tuotepakkauksia ja mainosmateriaaleja.	I design product packaging and advertising materials.
Olen graafinen suunnittelija ja työskentelen freelancerina.	I am a graphic designer and work as a freelancer.
Kirjoitan artikkeleita ja kolumneja verkkolehteen.	I write articles and columns for an online magazine.
Toimin teknisenä kääntäjänä ja käännän käyttöohjeita.	I work as a technical translator and translate user manuals.
Työni vaatii suurta tarkkuutta ja keskittymiskykyä.	My job requires great accuracy and concentration.
Johdan koko markkinointiosaston toimintaa.	I manage the operations of the entire marketing department.
Neuvottelen ja solmin uusia sopimuksia avainasiakkaiden kanssa.	I negotiate and sign new contracts with key clients.
Teen fyysisesti raskasta työtä varastossa.	I do physically demanding work in a warehouse.
Työskentelen kirvesmiehenä rakennustyömaalla.	I work as a carpenter on a construction site.
Ajan ammatikseni linja-autoa kaupunkiliikenteessä.	I drive a bus for a living in city traffic.
Työhöni kuuluu autojen huoltaminen ja korjaaminen.	My job includes servicing and repairing cars.
Olen ammatiltani automekaanikko.	I am a car mechanic by profession.
Työpäiväni venyvät usein pitkiksi.	My workdays often stretch long.
Teen kolmivuorotyötä tehtaassa.	I do three-shift work at a factory.
Minulla on suuri vastuu työni tuloksista.	I have a great responsibility for the results of my work.
Pidän työstäni, koska se on sopivan haastavaa.	I like my job because it is suitably challenging.
Työni on luovaa ja saan käyttää mielikuvitustani.	My work is creative and I get to use my imagination.
Autan ihmisiä selviytymään vaikeista elämäntilanteista.	I help people cope with difficult life situations.
Olen koulukuraattori ja tuen oppilaiden hyvinvointia.	I am a school counselor and I support the well-being of students.
Valmistan lounasruokaa suurelle henkilöstöravintolalle.	I prepare lunch food for a large staff restaurant.
Olen intohimoinen kokki.	I am a passionate cook.
Huolehdin toimistotilojen siisteydestä ja viihtyvyydestä.	I take care of the cleanliness and comfort of the office spaces.
Hoidan vanhuksia heidän kodeissaan.	I care for the elderly in their homes.
