Olen menossa joogatunnille.	I am going to a yoga class.
Varasin paikan huomiselle Vinyasa-tunnille.	I booked a spot for tomorrow's Vinyasa class.
Anteeksi, missä on naisten pukuhuone?	Excuse me, where is the women's changing room?
Voinko lainata joogamattoa?	Can I borrow a yoga mat?
Aseta mattosi lattialle.	Place your mat on the floor.
Tunti alkaa viiden minuutin kuluttua.	The class will begin in five minutes.
Aloitamme helpolla alkuverryttelyllä.	We will start with an easy warm-up.
Istu risti-istunnassa maton etuosassa.	Sit in a cross-legged position at the front of your mat.
Hengitä syvään sisään nenän kautta.	Breathe deeply in through your nose.
Ja hengitä hitaasti ulos suun kautta.	And breathe slowly out through your mouth.
Sulje silmäsi hetkeksi.	Close your eyes for a moment.
Tuo kädet yhteen sydämen eteen.	Bring your hands together in front of your heart.
Tunnustele kehoasi ja mieltäsi.	Sense your body and your mind.
Aloitamme aurinkotervehdyksillä.	We will begin with sun salutations.
Nosta kädet ylös sisäänhengityksellä.	Raise your arms up on an inhale.
Taivuta eteenpäin uloshengityksellä.	Fold forward on an exhale.
Astu oikea jalka taakse.	Step your right foot back.
Tule lankkuasentoon.	Come to a plank pose.
Laske polvet, rinta ja leuka lattiaan.	Lower your knees, chest, and chin to the floor.
Ylöspäin katsova koira, avaa rintakehää.	Upward-facing dog, open your chest.
Siirry alaspäin katsovaan koiraan.	Move into downward-facing dog.
Polje jalkoja vuorotellen.	Pedal your feet alternately.
Pidä asento viiden hengityksen ajan.	Hold the pose for five breaths.
Katso käsien väliin ja astu eteen.	Look between your hands and step forward.
Nouse nikama nikamalta ylös seisomaan.	Roll up one vertebra at a time to stand.
Seuraavaksi teemme soturi kaksi -asennon.	Next, we will do the warrior two pose.
Levitä kädet sivuille.	Spread your arms to the sides.
Katseesi seuraa etummaista kättä.	Your gaze follows your front hand.
Tunne venytys lonkissa.	Feel the stretch in your hips.
Muista pitää keskivartalo tiukkana.	Remember to keep your core engaged.
Tämä asento vahvistaa jalkoja.	This pose strengthens the legs.
Älä anna polven ylittää nilkkaa.	Don't let your knee go past your ankle.
Siirrymme kolmioasentoon.	We will move into the triangle pose.
Voit käyttää joogatiiltä apuna.	You can use a yoga block for support.
Tämä on todella haastavaa.	This is really challenging.
Tasapainoni on koetuksella.	My balance is being tested.
Yritä rentouttaa hartiat.	Try to relax your shoulders.
Opettaja on todella kannustava.	The teacher is very encouraging.
Hän korjaa asentoani hellävaraisesti.	She corrects my posture gently.
Tuntuupa tämä venytys hyvältä.	This stretch feels so good.
Musiikki on hyvin rauhoittavaa.	The music is very calming.
Olen aivan hiessä.	I am all sweaty.
Tämä on kuumajoogatunti.	This is a hot yoga class.
Salissa on todella lämmin.	It is really warm in the studio.
Muista juoda vettä tunnin jälkeen.	Remember to drink water after the class.
Nyt on aika loppurentoutukselle, savasanalle.	Now it is time for the final relaxation, savasana.
Käy makuulle selällesi.	Lie down on your back.
Anna kehon tuntua raskaalta mattoa vasten.	Let your body feel heavy against the mat.
Päästä irti kaikista jännityksistä.	Let go of all tensions.
Anna hengityksen virrata vapaasti.	Let your breath flow freely.
Mieli on tyyni ja hiljainen.	The mind is calm and quiet.
Kiitos tästä harjoituksesta.	Thank you for this practice.
Namaste.	Namaste.
Herätele kehoasi hitaasti.	Slowly awaken your body.
Käänny oikealle kyljelle.	Roll onto your right side.
Nouse rauhallisesti istumaan.	Come up to a seated position peacefully.
Kiitos tunnista!	Thank you for the class!
Se oli todella virkistävää.	That was really refreshing.
Tunnen oloni niin rennoksi.	I feel so relaxed.
Lihakseni tuntuvat avoimemmilta.	My muscles feel more open.
Aion tulla uudestaankin.	I plan on coming again.
Mikä on seuraavan tunnin teema?	What is the theme of the next class?
Pidättekö myös yin-joogaa?	Do you also have yin yoga?
Missä voin säilyttää mattoani?	Where can I store my mat?
Myyttekö joogavöitä?	Do you sell yoga straps?
Tarvitsen uuden joogapyyhkeen.	I need a new yoga towel.
Selkäni tuntuu paljon paremmalta.	My back feels much better.
