Minulla on varaus nimellä Matti Virtanen.	I have a reservation under the name Matti Virtanen.
Olemme tulleet kirjautumaan sisään.	We've come to check in.
Hyvää iltaa, meillä on varaus kahdeksi yöksi.	Good evening, we have a reservation for two nights.
Sisäänkirjautuminen, kiitos.	Check-in, please.
Löytyykö varausta nimellä Korhonen?	Can you find a reservation under the name Korhonen?
Olen varannut kahden hengen huoneen.	I have booked a double room.
Varaukseni on tehty netin kautta.	My reservation was made online.
Tässä on varausvahvistukseni.	Here is my booking confirmation.
Voimmeko saada huoneen ylemmistä kerroksista?	Could we get a room on a higher floor?
Onko mahdollista saada huone, josta on näköala järvelle?	Is it possible to get a room with a lake view?
Toivoisimme hiljaista huonetta.	We would like a quiet room.
Onko huoneessa parveketta?	Does the room have a balcony?
Tarvitsisin huoneen, jossa on erilliset sängyt.	I would need a room with twin beds.
Onko hotellissanne kuntosalia?	Do you have a gym in your hotel?
Mihin aikaan aamiainen tarjoillaan?	What time is breakfast served?
Missä aamiaishuone sijaitsee?	Where is the breakfast room located?
Kuuluuko aamiainen huoneen hintaan?	Is breakfast included in the room price?
Mikä on Wi-Fi-verkon salasana?	What is the Wi-Fi password?
Voinko saada kaksi avainkorttia?	Can I have two key cards?
Mihin aikaan uloskirjautuminen on?	What time is check-out?
Onko mahdollista saada myöhäinen uloskirjautuminen?	Is it possible to get a late check-out?
Missä hissit ovat?	Where are the elevators?
Voitteko suositella hyvää ravintolaa lähistöltä?	Can you recommend a good restaurant nearby?
Onko hotellilla oma pysäköintialue?	Does the hotel have its own parking area?
Mitä pysäköinti maksaa?	How much does parking cost?
Voinko jättää matkalaukkuni säilytykseen?	Can I leave my luggage in storage?
Tarvitsen apua matkatavaroiden kanssa.	I need help with my luggage.
Huoneeni numero on 502.	My room number is 502.
Täytyykö minun täyttää tämä lomake?	Do I need to fill out this form?
Tässä on passini.	Here is my passport.
Voinko maksaa luottokortilla?	Can I pay by credit card?
Hyväksyttekö American Expressin?	Do you accept American Express?
Haluaisin maksaa käteisellä.	I would like to pay with cash.
Voinko saada kuitin?	Can I get a receipt?
Onko huonepalvelu saatavilla 24 tuntia vuorokaudessa?	Is room service available 24/7?
Kuinka kauan hotellin baari on auki?	How long is the hotel bar open?
Onko teillä herätyspalvelua?	Do you have a wake-up call service?
Haluaisin herätyksen kello seitsemältä.	I would like a wake-up call at seven o'clock.
