Mikä ihana käsityömessu!	What a lovely craft fair!
Täällä on niin paljon lahjakkaita käsityöläisiä.	There are so many talented artisans here.
Hei, katselen vain.	Hello, I'm just looking.
Nämä ovat todella kauniita käsitöitä.	These are really beautiful handicrafts.
Kaikki on niin uniikkia täällä.	Everything is so unique here.
Kuka tämän on valmistanut?	Who made this?
Mistä materiaalista tämä on tehty?	What material is this made of?
Onko tätä saatavilla toisessa värissä?	Is this available in another color?
Voitko kertoa minulle lisää tästä tuotteesta?	Can you tell me more about this item?
Kuinka kauan tämän tekemiseen meni?	How long did it take to make this?
Onko tämä käsintehty?	Is this handmade?
Onko sinulla käyntikorttia?	Do you have a business card?
Missä sinun työpajasi sijaitsee?	Where is your workshop located?
Otatko vastaan tilaustöitä?	Do you take custom orders?
Nämä keramiikkamukit ovat suloisia.	These ceramic mugs are adorable.
Etsin villapaitaa.	I'm looking for a wool sweater.
Mitä puuta tämä korurasia on?	What kind of wood is this jewelry box?
Onko nämä kynttilät tehty luonnonvahasta?	Are these candles made from natural wax?
Tämä maalaus on upea.	This painting is stunning.
Rakastan näitä neulottuja sukkia.	I love these knitted socks.
Kestääkö tämä lasiastia konepesun?	Is this glassware dishwasher safe?
Ovatko nämä printit myynnissä?	Are these prints for sale?
Tämä nahkalaukku on erittäin hyvin tehty.	This leather bag is very well-made.
Paljonko tämä maksaa?	How much does this cost?
Haluaisin ostaa tämän.	I would like to buy this.
Voinko maksaa kortilla?	Can I pay by card?
Hyväksyttekö käteistä?	Do you accept cash?
Voisitko paketoida tämän lahjaksi?	Could you wrap this as a gift?
Otan tämän!	I'll take it!
Saako alennusta, jos ostan kaksi?	Is there a discount if I buy two?
Kiitos, tämä on kaunis.	Thank you, this is beautiful.
Aion vaalia tätä.	I will treasure this.
Löysin täydellisen lahjan ystävälleni.	I found the perfect gift for my friend.
Rakastan paikallisten käsityöläisten tukemista.	I love supporting local artisans.
Täällä on niin mukava tunnelma.	The atmosphere here is so nice.
On inspiroivaa nähdä näin paljon luovuutta.	It's inspiring to see so much creativity.
Voisin viettää täällä koko päivän.	I could spend all day here.
Mennään seuraavaksi tuolle kojulle tuolla.	Let's go to that stall over there next.
Kassini alkaa olla täynnä aarteita.	My bag is getting full of treasures.
Tämä on niin taidokkaasti tehty.	This is so skillfully made.
Mistä saat inspiraatiosi?	Where do you get your inspiration from?
Myytkö tuotteitasi myös netissä?	Do you sell your products online as well?
Tämä huivi on niin pehmeä.	This scarf is so soft.
Minkä tyyppistä savea käytät?	What type of clay do you use?
Nämä korvakorut ovat juuri minun tyyliseni.	These earrings are just my style.
Onko mahdollista saada tämä kaiverruksella?	Is it possible to get this with an engraving?
Työn jälki on moitteetonta.	The workmanship is flawless.
Oletpa sinä taitava!	You are so talented!
Tämä olisi täydellinen keittiööni.	This would be perfect for my kitchen.
Onko tämä hopeaa?	Is this silver?
Kuinka hoidan tätä materiaalia?	How do I care for this material?
Voi miten hienoja värejä!	Oh, what wonderful colors!
Tämä tuoksuu ihanalta, mitä tämä on?	This smells lovely, what is it?
Onko tämä painettu käsin?	Is this hand-printed?
Tämä lasinpuhallus on vaikuttavaa.	This glassblowing is impressive.
Pidän todella töidesi estetiikasta.	I really like the aesthetic of your work.
Onko tämä viimeinen kappale?	Is this the last one?
Voisitko laittaa tämän sivuun minulle hetkeksi?	Could you put this aside for me for a moment?
Ajattelin ostaa tämän lahjaksi äidilleni.	I was thinking of buying this as a gift for my mother.
Onko tämä tehty kierrätysmateriaaleista?	Is this made from recycled materials?
Tämä tuntuu todella laadukkaalta.	This feels really high quality.
Onko messuilla kahvilaa?	Is there a café at the fair?
Käsityöläisyys on tärkeä taito.	Craftsmanship is an important skill.
Täällä on niin paljon nähtävää.	There is so much to see here.
Tulen ehdottomasti ensi vuonna uudelleen.	I will definitely come again next year.
Tämä tilkkutäkki on uskomaton taideteos.	This quilt is an incredible work of art.
Onko sinulla pienempää kokoa tästä?	Do you have a smaller size of this?
Tämä on täydellinen matkamuisto.	This is a perfect souvenir.
Katsopas näitä puuleluja, ne ovat klassisia.	Look at these wooden toys, they are classic.
Tämä mobiili on niin herkkä.	This mobile is so delicate.
Voinko koskea tähän?	May I touch this?
Oletko itse suunnitellut tämän kuvion?	Did you design this pattern yourself?
Tämä on paljon kauniimpi henkilökohtaisesti.	This is much more beautiful in person.
Miten keksit tämän idean?	How did you come up with this idea?
Tämä on todella ainutlaatuinen esine.	This is a truly unique item.
Myytkö myös tarvikkeita omien töiden tekemiseen?	Do you also sell supplies for making one's own crafts?
Tämä keramiikkakulho on täydellisen muotoinen.	This ceramic bowl has the perfect shape.
Tämän takana on varmasti paljon työtä.	There must be a lot of work behind this.
Kudotko nämä kankaat itse?	Do you weave these fabrics yourself?
Tämän täytyy olla suosikkikojuni täällä.	This has to be my favorite stall here.
Täällä tuoksuu puulta ja mehiläisvahalta.	It smells of wood and beeswax in here.
On hienoa nähdä perinteisten tekniikoiden elävän.	It's great to see traditional techniques alive.
Tämä tuo mieleeni lapsuuteni.	This reminds me of my childhood.
Kuinka kauan olet tehnyt käsitöitä?	How long have you been doing crafts?
Onko tämä ammatti vai harrastus sinulle?	Is this a profession or a hobby for you?
Järjestätkö kursseja?	Do you organize courses?
Saanhan ottaa valokuvan?	May I take a photo?
Taidan palata myöhemmin tähän.	I think I'll come back to this later.
Yritän päättää näiden kahden välillä.	I'm trying to decide between these two.
Onko hinta neuvoteltavissa?	Is the price negotiable?
Paketoitko sen hyvin, ettei se mene rikki matkalla?	Will you pack it well so it doesn't break on the way?
Kiitos paljon, hyvää päivänjatkoa!	Thank you very much, have a nice day!
Toivottavasti myynti sujuu hyvin!	I hope the sales go well!
Näyttää siltä, että ihmiset pitävät tuotteistasi.	It looks like people like your products.
Onko tämä vapaasti seisova veistos?	Is this a freestanding sculpture?
Mikä kaunis taonta!	What beautiful blacksmithing!
Oletko opiskellut tätä alaa?	Have you studied this field?
Tämän väripaletti on niin rauhoittava.	The color palette of this is so calming.
Se sopisi täydellisesti seinälleni.	It would fit perfectly on my wall.
