En anna ikinä periksi!	I will never give up!
Tämä ei ole vielä ohi!	This isn't over yet!
Minä suojelen ystäviäni!	I will protect my friends!
Usko itseesi!	Believe in yourself!
Ylitän omat rajani!	I will surpass my own limits!
Tämä on minun voimani!	This is my power!
Taistelemme yhdessä, loppuun asti!	We'll fight together, until the very end!
Sinusta tulee vielä suuri sankari.	You will become a great hero someday.
En voi hävitä tässä.	I can't lose here.
Näytän sinulle, mihin todella pystyn!	I'll show you what I'm truly capable of!
Miksi teet tämän?	Why are you doing this?
Hän on... uskomattoman vahva!	He is... unbelievably strong!
Tämä on erikoishyökkäykseni!	This is my special attack!
En petä heidän luottamustaan.	I won't betray their trust.
Vielä yksi kerta!	One more time!
Nyt riittää!	That's enough!
Mahdotonta! Hänen voimatasonsa kasvaa!	Impossible! His power level is rising!
Oletko valmis?	Are you ready?
En paennut silloin, enkä pakene nytkään.	I didn't run then, and I'm not running now.
Meidän on tehtävä yhteistyötä voittaaksemme.	We have to work together to win.
Tämä kipu... tekee minut vain vahvemmaksi!	This pain... it only makes me stronger!
Senkin idiootti!	You idiot!
Minun on kostettava.	I must get my revenge.
Tämä on kohtalomme.	This is our destiny.
Älä aliarvioi minua!	Don't underestimate me!
Lopeta tuo nauraminen!	Stop that laughing!
Hän uhrasi itsensä meidän vuoksemme.	He sacrificed himself for us.
Minä uskon sinuun.	I believe in you.
Tämä maailma on mätä.	This world is rotten.
Aion muuttaa maailmaa.	I'm going to change the world.
Tämä on vasta alkua.	This is just the beginning.
Seis! Älä tee sitä!	Stop! Don't do it!
Et ymmärrä mitään.	You don't understand anything.
Hän ei ole enää sama henkilö.	He's not the same person anymore.
Tunnen pimeän auran.	I can feel a dark aura.
Vapauta piilevä voimasi!	Unleash your hidden power!
Olemme viimeinen toivomme.	We are the last hope.
Tämä taistelu ratkaisee kaiken.	This battle will decide everything.
En anna sinun tuhota kaikkea!	I won't let you destroy everything!
Mitä sinä oikein olet?	What in the world are you?
Tämä on minun polkuni!	This is my path!
Jätä tämä minun huolekseni.	Leave this to me.
En tarvitse sinun sääliäsi.	I don't need your pity.
Hän on nopein, jonka olen koskaan nähnyt.	He's the fastest I've ever seen.
Nouse ylös! Taistelu ei ole ohi!	Get up! The fight isn't over!
En voi antaa hänen kuolla.	I can't let him die.
Tämä voima... se on liikaa!	This power... it's too much!
Me tapaamme vielä.	We will meet again.
Lupaan tulla vahvemmaksi.	I promise to become stronger.
Sinun aikasi on ohi.	Your time is over.
Olen pahoillani, ystäväni.	I'm sorry, my friend.
Tämä on vastaus rukouksiimme.	This is the answer to our prayers.
Sinun teoillasi on seuraukset.	Your actions have consequences.
En ole enää se heikko lapsi.	I'm not that weak kid anymore.
On aika lopettaa tämä.	It's time to end this.
Miksi et vain luovuta?	Why don't you just give up?
Hänen henkensä on vaakalaudalla.	His life is on the line.
En ole yksin! Minulla on ystäväni!	I'm not alone! I have my friends!
Tämä haisee ansalta.	This smells like a trap.
Sinä ja minä, selvitetään tämä nyt.	You and me, let's settle this now.
Hänen tekniikkansa on virheetön.	His technique is flawless.
Oletko tosissasi?	Are you serious?
Älä koske häneen!	Don't touch him/her!
Olen odottanut tätä hetkeä.	I've been waiting for this moment.
Tämä on minun taisteluni.	This is my fight.
Hänellä täytyy olla heikkous.	He must have a weakness.
En peräänny.	I won't back down.
Tämä on täydellinen tilaisuus.	This is the perfect chance.
Tehdään tämä!	Let's do this!
Hän paranee... uskomattoman nopeasti.	He's healing... incredibly fast.
Sinä puhut liikaa.	You talk too much.
Valmistaudu!	Get ready!
En voi antaa historian toistaa itseään.	I can't let history repeat itself.
Tämä riittää!	This is enough!
Tämä paine... se on musertava.	This pressure... it's crushing.
Sinulla ei ole kunniaa.	You have no honor.
Olen pahoillani, että annoin sinun odottaa.	Sorry to keep you waiting.
Miksi suojelet häntä?	Why are you protecting him?
Voima yksin ei riitä.	Power alone is not enough.
En anna sinun päästä pakoon!	I won't let you get away!
Hän on todellinen hirviö.	He's a true monster.
Minun täytyy tulla vahvemmaksi hänen vuokseen.	I have to get stronger for her/his sake.
Tämä on voimieni äärirajoilla!	This is the limit of my power!
Hän huijasi meitä.	He tricked us.
Älä sekaannu tähän.	Stay out of this.
Tämä on viimeinen varoitukseni.	This is your final warning.
Näytä minulle, mitä osaat.	Show me what you've got.
Hän on ainoa, joka voi voittaa hänet.	He's the only one who can defeat him.
Varo!	Watch out!
Meidän on peräännyttävä toistaiseksi.	We have to retreat for now.
En ole työkalu!	I am not a tool!
Sinä et päätä minun kohtaloani!	You don't decide my fate!
Ystävyytemme antaa minulle voimaa.	Our friendship gives me strength.
Tämä on tie, jonka valitsin.	This is the path I chose.
Tulen aina olemaan tukenasi.	I will always be there for you.
Tämä sinetti... se on murtumassa!	This seal... it's breaking!
Hänellä on kuninkaan ominaisuudet.	He has the qualities of a king.
Se on lupaus.	It's a promise.
Älä koskaan menetä toivoa.	Never lose hope.
Olet vahvempi kuin uskotkaan.	You're stronger than you think.
Tämä oli vasta lämmittelyä.	That was just a warm-up.
Yhdessä olemme voittamattomia.	Together, we are invincible.
