Hyvää syntymäpäivää!	Happy birthday!
Paljon onnea!	Many happy returns!
Onneksi olkoon syntymäpäivän johdosta.	Congratulations on your birthday.
Kiitos kutsusta.	Thanks for the invitation.
Nämä ovat mahtavat juhlat!	This is a great party!
Toivottavasti pidät lahjasta.	I hope you like the gift.
Tässä pieni lahja sinulle.	Here's a little gift for you.
Mihin voin laittaa takkini ja kenkäni?	Where can I put my coat and shoes?
Kakku näyttää todella herkulliselta.	The cake looks really delicious.
Voinko auttaa sinua jossakin?	Can I help you with anything?
Mistä tunnet päivänsankarin?	How do you know the birthday person?
Tämä on todella mukava ilta.	This is a really nice evening.
Nostetaan malja sankarille!	Let's raise a toast to the birthday person!
Kippis ja onnea!	Cheers and congratulations!
Onpa teillä kaunis koti.	You have a beautiful home.
Kuka leipoi tämän kakun? Se on uskomatonta.	Who baked this cake? It's incredible.
Otanko kengät pois?	Should I take my shoes off?
Onko täällä jokin paikka lahjoille?	Is there a place for the gifts here?
Oletko jo tavannut muita vieraita?	Have you met the other guests yet?
Tämä musiikki on loistavaa.	This music is great.
Saisinko lasin vettä, kiitos?	Could I have a glass of water, please?
Tämä booli on todella hyvää.	This punch is really good.
Kuinka vanhaksi sinä täytät?	How old are you turning?
Ikä on vain numero.	Age is just a number.
Milloin leikkaamme kakun?	When are we cutting the cake?
Lauletaanko syntymäpäivälaulu?	Shall we sing the birthday song?
Otan vain pienen palan, kiitos.	Just a small piece for me, please.
Onko tämä gluteenitonta?	Is this gluten-free?
Minulla on pähkinäallergia.	I have a nut allergy.
Kiitos, että järjestit näin ihanat juhlat.	Thank you for organizing such a lovely party.
Minun täytyy valitettavasti lähteä pian.	Unfortunately, I have to leave soon.
Oli todella hauskaa!	It was really fun!
Pidetään pian taas yhteyttä.	Let's keep in touch soon.
Hyvää illanjatkoa kaikille!	Have a good rest of the evening, everyone!
Voinko saada reseptin tähän piirakkaan?	Can I get the recipe for this pie?
Tunnelma täällä on todella lämmin.	The atmosphere here is really warm.
Onnea tulevaan vuoteen!	Best wishes for the coming year!
Toitko sinä tämän salaatin? Se on erinomaista.	Did you bring this salad? It's excellent.
En malta odottaa, että avaat lahjat.	I can't wait for you to open the gifts.
Tämä on juuri sitä, mitä toivoin!	This is exactly what I wished for!
Ei sinun olisi tarvinnut.	You shouldn't have.
Onpa ajatuksella valittu lahja.	What a thoughtful gift.
