Tänään on jalkapäivä.	Today is leg day.
Aion tehdä kyykkyjä.	I'm going to do squats.
Montako sarjaa sinulla on jäljellä?	How many sets do you have left?
Voitko varmistaa minua penkkipunnerruksessa?	Can you spot me on the bench press?
Tarvitsen isommat käsipainot.	I need bigger dumbbells.
Kuinka paljon nostat maasta?	How much do you deadlift?
Pidä selkä suorana.	Keep your back straight.
Muista hengittää.	Remember to breathe.
Tämä on viimeinen toisto.	This is the last rep.
Lämmitellään ensin kunnolla.	Let's warm up properly first.
Missä on juoksumatto?	Where is the treadmill?
Aion venytellä treenin jälkeen.	I'm going to stretch after the workout.
Lihakseni ovat todella kipeät eilisestä.	My muscles are really sore from yesterday.
Käytätkö tätä laitetta?	Are you using this machine?
Teen tänään yläkropan treenin.	I'm doing an upper body workout today.
Paljonko tämä tanko painaa?	How much does this barbell weigh?
Tarvitsen magnesiumia parempaa otetta varten.	I need chalk for a better grip.
Pidä pieni tauko sarjojen välissä.	Take a short break between sets.
Mikä on sinun ennätyksesi?	What is your personal record?
Tämä liike tuntuu hyvin hauislihaksissa.	This exercise really feels in the biceps.
Onko sinulla treeniohjelmaa?	Do you have a workout program?
Yritän parantaa kestävyyttäni.	I'm trying to improve my endurance.
Hiki virtaa, mutta olo on mahtava.	I'm sweating, but it feels great.
Voinko treenata vuorotellen sinun kanssasi?	Can I work in with you?
Tämä on hyvä liike ojentajille.	This is a good exercise for triceps.
Älä unohda juoda vettä.	Don't forget to drink water.
Teen vatsalihasliikkeitä seuraavaksi.	I'm doing abs next.
Keskity liikkeen puhtaaseen suorittamiseen.	Focus on the clean execution of the movement.
Tuntuu, että kehityn joka viikko.	I feel like I'm making progress every week.
Salilla on tänään ruuhkaa.	The gym is crowded today.
Kuunteletko musiikkia treenatessa?	Do you listen to music while working out?
Tämä on tehokas koko kropan liike.	This is an effective full-body exercise.
Tarvitsen nostovyön.	I need a lifting belt.
Lasken painoja hieman.	I'm going to lower the weights a bit.
Tee niin monta toistoa kuin jaksat.	Do as many reps as you can.
Soutulaite on hyvä lämmittelyyn.	The rowing machine is good for warming up.
Olen aivan poikki.	I'm completely exhausted.
Tämä on viimeinen sarja.	This is the last set.
Milloin yleensä käyt salilla?	When do you usually go to the gym?
Tavoitteenani on kasvattaa lihasmassaa.	My goal is to build muscle mass.
Muista pitää keskivartalo tiukkana.	Remember to keep your core tight.
Tänään keskityn selkälihaksiin.	Today I'm focusing on my back muscles.
Mikä on seuraava liikkeesi?	What's your next exercise?
