Onnea hääparille!	Congratulations to the wedding couple!
Kaunis seremonia.	A beautiful ceremony.
Morsian on upea.	The bride is stunning.
Sulhanen on todella onnellisen näköinen.	The groom looks so happy.
Missä juhlat pidetään?	Where is the reception being held?
Tämä on ihana paikka häille.	This is a lovely venue for a wedding.
Milloin kakku leikataan?	When will the cake be cut?
Voinko ottaa kuvan teistä?	Can I take a picture of you?
Tanssitaanko?	Shall we dance?
Mikä on teidän lahjanne?	What is your gift?
Kirjoitetaan vieraskirjaan.	Let's write in the guestbook.
Ruoka on herkullista.	The food is delicious.
Häävalssi on niin romanttinen.	The wedding waltz is so romantic.
Toivon heille kaikkea hyvää.	I wish them all the best.
Kippis hääparille!	A toast to the newlyweds!
Onko tämä istumapaikka vapaa?	Is this seat taken?
Oletteko morsiamen vai sulhasen sukua?	Are you relatives of the bride or the groom?
Tunnen morsiamen lapsuudesta asti.	I've known the bride since childhood.
Olemme sulhasen opiskelukavereita.	We are the groom's friends from university.
Tämä on elämäni parhaita häitä.	This is one of the best weddings I've ever been to.
Ihana puku sinulla.	You have a lovely dress.
Mistä ostit tuon puvun?	Where did you buy that suit?
Onnea ja rakkautta tulevaisuuteen.	Happiness and love for the future.
Puheet olivat todella koskettavia.	The speeches were very touching.
Kuka nappasi morsiuskimpun?	Who caught the bridal bouquet?
Bändi soittaa hyvin.	The band is playing well.
Toivottavasti heillä on upea häämatka.	I hope they have a wonderful honeymoon.
Minulla on niin hauskaa.	I'm having so much fun.
Juhlitaan aamuun asti!	Let's celebrate until morning!
On aika heittää riisiä.	It's time to throw rice.
He ovat täydellinen pari.	They are a perfect couple.
On kunnia olla täällä tänään.	It's an honor to be here today.
Milloin häätanssi alkaa?	When does the wedding dance start?
Tarvitsen lasin vettä.	I need a glass of water.
Mennään onnittelemaan heitä henkilökohtaisesti.	Let's go congratulate them personally.
Koristelut ovat todella kauniita.	The decorations are really beautiful.
Kuka on bestman?	Who is the best man?
Kuka on kaaso?	Who is the maid of honor?
Heidän rakkaustarinansa on niin kaunis.	Their love story is so beautiful.
Kuinka kauan olette olleet yhdessä?	How long have you been together?
Tämä on päivä, jota muistellaan ikuisesti.	This is a day to be remembered forever.
