Mitä elokuvaa me tänään katsotaan?	What movie are we watching tonight?
Laitetaanko joku komedia vai toimintaelokuva?	Should we put on a comedy or an action movie?
Voitko laittaa tekstitykset päälle?	Can you turn on the subtitles?
Haluatko popcornia leffan kanssa?	Do you want popcorn with the movie?
Tämä on minun lempielokuvani.	This is my favorite movie.
Kuka tämä näyttelijä on? Hän on todella hyvä.	Who is this actor? He is really good.
Äänet ovat liian kovalla, voitko laittaa hiljemmalle?	The volume is too loud, can you turn it down?
Pysäytä hetkeksi, minun täytyy käydä vessassa.	Pause it for a moment, I need to go to the bathroom.
Mitä pidit elokuvan lopusta?	What did you think of the ending?
Tämä juoni on todella monimutkainen.	This plot is really complex.
Ojenna sipsikulho, kiitos.	Pass the chip bowl, please.
Tämä on pelottavin kohtaus koko elokuvassa.	This is the scariest scene in the whole movie.
Voimmeko katsoa tämän uudestaan joskus?	Can we watch this again sometime?
Tämä elokuva sai minut itkemään.	This movie made me cry.
Tämä on täydellinen elokuva perjantai-illalle.	This is the perfect movie for a Friday night.
Himmennetäänkö valoja vähän?	Should we dim the lights a bit?
Onko meillä mitään muuta naposteltavaa?	Do we have any other snacks?
Kelaa vähän taaksepäin, en kuullut mitä hän sanoi.	Rewind a bit, I didn't hear what he said.
Elokuvan soundtrack on aivan mahtava.	The movie's soundtrack is absolutely amazing.
En yleensä pidä scifi-elokuvista, mutta tämä on hyvä.	I don't usually like sci-fi movies, but this one is good.
Onko tämä se elokuva, joka voitti Oscarin?	Is this the movie that won an Oscar?
Kuva on vähän epätarkka.	The picture is a bit blurry.
Rakastan elokuvailtoja kotona.	I love movie nights at home.
Onko sinulla vilttiä? Täällä on vähän viileää.	Do you have a blanket? It's a bit chilly in here.
Kaadan meille lisää juotavaa.	I'll pour us some more drinks.
Älä paljasta juonta, en ole nähnyt tätä ennen!	Don't spoil the plot, I haven't seen this before!
Tämä ohjaaja tekee aina hyviä elokuvia.	This director always makes good movies.
Mistä palvelusta me katsomme tämän?	Which service are we watching this from?
Kaukosäädin on sohvatyynyjen välissä.	The remote is between the sofa cushions.
Tämä tuntuu pidemmältä kuin kaksi tuntia.	This feels longer than two hours.
Erikoistehosteet ovat todella vaikuttavia.	The special effects are really impressive.
Seuraavaksi voitaisiin katsoa se uusi sarja.	Next, we could watch that new series.
Tämä on paljon parempi kuin odotin.	This is much better than I expected.
Mikä oli se laulu, joka soi aiemmin?	What was that song that was playing earlier?
Annetaan elokuvalle mahdollisuus, vaikka alku on hidas.	Let's give the movie a chance, even though the beginning is slow.
Tämä on niin hauska, että vatsaani sattuu.	This is so funny my stomach hurts.
Voitaisiinko pitää pieni tauko?	Could we take a short break?
Tämä elokuva perustuu tositapahtumiin.	This movie is based on a true story.
Mielestäni ensimmäinen osa oli parempi.	I think the first part was better.
Tarkistetaan, onko tälle jatko-osaa.	Let's check if there's a sequel to this.
Voin nukahtaa kesken elokuvan.	I might fall asleep during the movie.
Tämä on täydellinen taustaelokuva.	This is a perfect background movie.
En kestä katsoa tätä kohtausta.	I can't bear to watch this scene.
Nyt alkaa jännittävin osa.	Now the most exciting part begins.
Lavastus tässä elokuvassa on upea.	The set design in this movie is gorgeous.
Päähenkilö on todella ärsyttävä.	The main character is really annoying.
Tämän näyttelijän roolisuoritus on uskomaton.	This actor's performance is incredible.
Miten tämä voi päättyä näin?	How can it end like this?
Tämä elokuva jätti minut sanattomaksi.	This movie left me speechless.
Onko meillä jäätelöä pakkasessa?	Do we have ice cream in the freezer?
Elokuvan dialogi on niin hyvin kirjoitettu.	The dialogue in the movie is so well-written.
Tämä ei ollut lainkaan pelottava.	This wasn't scary at all.
Voisin katsoa tämän elokuvan pelkästään maisemien takia.	I could watch this movie just for the scenery.
Siirrytäänkö sohvalle katsomaan mukavammin?	Should we move to the sofa to watch more comfortably?
Kuka sammuttaa valot?	Who's turning off the lights?
Tarkista, onko ääni- ja tekstitysasetukset oikein.	Check if the audio and subtitle settings are correct.
Tämä tuntuu klassikkoelokuvalta.	This feels like a classic movie.
En arvannut tuota juonenkäännettä ollenkaan.	I did not see that plot twist coming at all.
Hahmojen kehitys on todella mielenkiintoista.	The character development is really interesting.
Tämä musiikki luo täydellisen tunnelman.	This music creates the perfect atmosphere.
Onko tämä suositeltu elokuva?	Is this a recommended movie?
Luulin, että tämä olisi ollut parempi.	I thought this would have been better.
Tämä on ehdottomasti viiden tähden elokuva.	This is definitely a five-star movie.
Voitko laittaa sen pauselle, puhelimeni soi.	Can you pause it, my phone is ringing.
Elokuvan alku on hieman hämmentävä.	The beginning of the movie is a bit confusing.
Katso, tuo on se kuuluisa kohtaus!	Look, that's the famous scene!
Tämä elokuva on täynnä kliseitä.	This movie is full of clichés.
Kamera-ajo on todella taiteellista.	The camerawork is very artistic.
En samaistu yhteenkään hahmoon.	I don't identify with any of the characters.
Tämä on sellainen elokuva, joka saa ajattelemaan.	This is the kind of movie that makes you think.
Mitäs jos tilattaisiin pizzaa leffan kaveriksi?	How about we order a pizza to go with the movie?
Tämä on liian synkkä minun makuuni.	This is too dark for my taste.
Taidan hakea toisen peiton.	I think I'll get another blanket.
Juoni on aika ennalta-arvattava.	The plot is quite predictable.
Näyttelijäntyö on hieman kömpelöä.	The acting is a bit clumsy.
Tämä on aliarvostettu helmi.	This is an underrated gem.
En malta odottaa, miten tämä ratkeaa.	I can't wait to see how this resolves.
Tämä elokuva on visuaalisesti upea.	This movie is visually stunning.
Lopeta puhuminen elokuvan aikana!	Stop talking during the movie!
Onko tämä koko perheen elokuva?	Is this a movie for the whole family?
Tämä on täydellinen elokuva sadepäivään.	This is a perfect movie for a rainy day.
Minulla on jo teoria siitä, kuka on syyllinen.	I already have a theory about who the culprit is.
Nämä vanhat elokuvat ovat niin viehättäviä.	These old movies are so charming.
Tarvitseeko joku lasin vettä?	Does anyone need a glass of water?
Voisin katsoa kaikki tämän ohjaajan elokuvat.	I could watch all of this director's movies.
