Anteeksi, mutta tämä ruoka on kylmää.	Excuse me, but this food is cold.
Pahoittelen, mutta pihvini on aivan raaka.	I'm sorry, but my steak is completely raw.
Tämä kana on valitettavasti ylikypsää ja kuivaa.	This chicken is unfortunately overcooked and dry.
Saisinko puhua tarjoilijan kanssa? Ruoassani on ongelma.	Could I speak to the waiter? There is a problem with my food.
Tämä keitto maistuu palaneelta.	This soup tastes burnt.
En voi syödä tätä, se on aivan liian suolaista.	I can't eat this, it is far too salty.
Olen pahoillani, mutta tämä salaatti on nuutunut.	I'm sorry, but this salad is wilted.
Löysin hiuksen annoksestani.	I found a hair in my dish.
Tämä kala ei maistu tuoreelta.	This fish doesn't taste fresh.
Onko mahdollista saada uusi annos?	Is it possible to get a new dish?
Haluaisin valittaa tästä ruoasta.	I would like to complain about this food.
Maku on todella outo, onko tässä kaikki kunnossa?	The taste is very strange, is everything okay with this?
Perunani ovat kovia ja raakoja sisältä.	My potatoes are hard and raw on the inside.
Kastike on todella mauton.	The sauce is really tasteless.
Tämä ei ole sitä, mitä tilasin.	This is not what I ordered.
Voitteko viedä tämän pois ja poistaa sen laskulta?	Could you take this away and remove it from the bill?
Odotin jotain aivan muuta.	I was expecting something completely different.
Tämä on suuri pettymys.	This is a big disappointment.
Liha on sitkeää kuin kengänpohja.	The meat is as tough as a shoe sole.
Vihannekset ovat ylikypsiä ja mössöisiä.	The vegetables are overcooked and mushy.
Voinko puhua keittiömestarille?	May I speak to the chef?
Annos on jäähtynyt odottaessamme.	The dish has gotten cold while we waited.
Tässä ruoassa on todella erikoinen sivumaku.	This food has a really peculiar aftertaste.
En ole tyytyväinen tähän annokseen.	I am not satisfied with this dish.
Tämä ei vastaa kuvausta ruokalistalla.	This does not match the description on the menu.
Haluaisin lähettää tämän takaisin keittiöön.	I would like to send this back to the kitchen.
Tämä on yksinkertaisesti syömäkelvotonta.	This is simply inedible.
Rasva maistuu vanhalta ja härskiintyneeltä.	The grease tastes old and rancid.
Pastani ui öljyssä.	My pasta is swimming in oil.
Leipä on kuivaa ja vanhan makuista.	The bread is dry and tastes stale.
Haluaisin hyvityksen tästä annoksesta.	I would like a refund for this dish.
Tämä ei ole hintansa arvoinen.	This is not worth the price.
Olen pahoillani, mutta en aio maksaa tästä.	I'm sorry, but I am not going to pay for this.
Miten aiotte korvata tämän?	How are you going to compensate for this?
Ruoan laatu on todella heikko.	The quality of the food is very poor.
Onko tämä pakastettua ja mikrotettua?	Is this frozen and microwaved?
Tämä maistuu puolivalmisteelta.	This tastes like a ready-made meal.
Kala haisee voimakkaasti, ei hyvällä tavalla.	The fish has a strong smell, not in a good way.
Salaatinkastike on pelkkää etikkaa.	The salad dressing is pure vinegar.
Pihvini on sitkeä ja täynnä jänteitä.	My steak is tough and full of gristle.
Tämä ei ole lainkaan sitä, mitä odotin.	This is not at all what I expected.
Voinko tilata jotain muuta tämän tilalle?	Can I order something else instead of this?
Tämä on kolmas kerta, kun olen pettynyt ruokaanne.	This is the third time I've been disappointed with your food.
Annos on paljon pienempi kuin yleensä.	The portion is much smaller than usual.
Ranskalaiset ovat löysiä ja rasvaisia.	The fries are limp and greasy.
Pizzan pohja on palanut mustaksi.	The pizza crust is burnt black.
Juusto maistuu oudolta, onko se mennyt vanhaksi?	The cheese tastes strange, has it gone bad?
En voi uskoa, että tarjoilette tällaista.	I can't believe you serve something like this.
Haluaisin puhua ravintolapäällikön kanssa.	I would like to speak with the restaurant manager.
Tämä on todella epämiellyttävä kokemus.	This is a very unpleasant experience.
Ruoassa on jotain, mille olen allerginen, vaikka pyysin sen pois.	There is something in the food I'm allergic to, even though I asked for it to be left out.
Tämä on alikypsää, melkein vielä jäässä keskeltä.	This is undercooked, it's almost still frozen in the middle.
Miksi tämän annoksen saamisessa kesti niin kauan, jos se on kylmää?	Why did this dish take so long to arrive if it's cold?
Tämä ei ole tuoretta, se on selvästi seissyt pitkään.	This isn't fresh, it has clearly been sitting for a long time.
Tämä on rehellisesti sanottuna aika pahaa.	This is, frankly, quite bad.
Kastikkeessa ei ole mitään makua.	There is no flavour in the sauce whatsoever.
Onko tämä todella teidän normaali laatu?	Is this really your normal standard?
En suosittelisi tätä kenellekään.	I would not recommend this to anyone.
Tämä pilaa koko illallisemme.	This is ruining our whole dinner.
