Anteeksi, mistä löydän vasarat?	Excuse me, where can I find the hammers?
Etsin tietynlaista ruuvia.	I'm looking for a specific type of screw.
Voitteko auttaa minua löytämään oikeanlaisen maalin?	Can you help me find the right kind of paint?
Myyttekö täällä sähkötyökaluja?	Do you sell power tools here?
Tarvitsen apua oikeanlaisen sahan valinnassa.	I need help choosing the right kind of saw.
Onko teillä näitä nauloja isommassa pakkauksessa?	Do you have these nails in a larger package?
Mistä osastolta löydän LVI-tarvikkeet?	From which department can I find the plumbing supplies?
Etsin jatkojohtoa ulkokäyttöön.	I'm looking for an extension cord for outdoor use.
Löytyykö teiltä hiomapaperia puulle?	Do you have sandpaper for wood?
Mikä on tämän porakoneen teho?	What is the power of this drill?
Haluaisin ostaa tämän hyllyn.	I would like to buy this shelf.
Voinko saada apua tämän painavan laatikon kanssa?	Can I get some help with this heavy box?
Mistä löydän suojalasit?	Where can I find safety glasses?
Etsin puuöljyä terassilleni.	I'm looking for wood oil for my terrace.
Onko tämä maali vedenkestävä?	Is this paint water-resistant?
Tarvitsen uuden lampun kylpyhuoneeseen.	I need a new lamp for the bathroom.
Myyttekö tällaista saranaa?	Do you sell this type of hinge?
Mistä löydän puutarhatyökalut?	Where can I find the garden tools?
Etsin ruuvimeisselisarjaa.	I'm looking for a screwdriver set.
Onko teillä pienempiä kokoja tästä?	Do you have smaller sizes of this?
Tämä on juuri sitä, mitä etsin.	This is exactly what I was looking for.
Voinko palauttaa tämän, jos se on väärän kokoinen?	Can I return this if it's the wrong size?
Mistä löytäisin jonkun, joka voisi auttaa minua?	Where could I find someone to help me?
Tarvitsen kymmenen kappaletta näitä ruuveja.	I need ten of these screws.
Myydäänkö tätä metritavarana?	Is this sold by the meter?
Etsin vesivaakaa.	I'm looking for a spirit level.
Onko teillä akkuporakoneita?	Do you have cordless drills?
Mikä on tämän tuotteen hinta?	What is the price of this product?
Löytyykö teiltä sähköjohtoa?	Do you have electrical wire?
Tarvitsisin apua oikeanlaisen liiman valintaan.	I would need help choosing the right kind of glue.
Onko tämä tuote varastossa?	Is this product in stock?
Mistä löydän maalarinteippiä?	Where can I find painter's tape?
Etsin lapioa ja haravaa.	I'm looking for a shovel and a rake.
Onko teillä tästä eri värejä?	Do you have this in different colors?
Voitteko leikata tämän levyn mittoihin?	Can you cut this board to size?
Tarvitsen uuden suihkupään.	I need a new shower head.
Myyttekö kiinnitystarvikkeita?	Do you sell fasteners?
Mistä löydän työvaatteita?	Where can I find work clothes?
Etsin kuulosuojaimia.	I'm looking for ear protectors.
Onko tämä työkalu alennuksessa?	Is this tool on sale?
Tarvitsen apua tämän kokoamisessa.	I need help assembling this.
Missä teidän puutavaraosasto on?	Where is your timber department?
Etsin pientä vasaraa.	I'm looking for a small hammer.
Onko teillä pidempiä ruuveja?	Do you have longer screws?
Mistä maalista tulisi paras lopputulos?	Which paint would give the best result?
Myyttekö varaosia tähän koneeseen?	Do you sell spare parts for this machine?
Tarvitsen uuden ovenkahvan.	I need a new door handle.
Löytyykö teiltä tapettia?	Do you have wallpaper?
Etsin puutarhaletkuja ja liittimiä.	I'm looking for garden hoses and connectors.
Mikä on tämän sahan takuu?	What is the warranty on this saw?
Voinko vuokrata työkaluja täältä?	Can I rent tools from here?
Missä on sähkötarvikeosasto?	Where is the electrical supplies department?
Etsin nitojaa.	I'm looking for a stapler.
Onko teillä puunsuoja-ainetta?	Do you have wood preservative?
Mistä löydän pensselit ja telat?	Where can I find paintbrushes and rollers?
Tarvitsen pienen purkin valkoista maalia.	I need a small can of white paint.
Myyttekö avaimia?	Do you sell wrenches?
Etsin poranteriä metallille.	I'm looking for drill bits for metal.
Onko tämä tuote sopiva ulkokäyttöön?	Is this product suitable for outdoor use?
Mistä löydän ilmastointiteippiä?	Where can I find duct tape?
Tarvitsen apua oikean koon valinnassa.	I need help choosing the right size.
Onko teillä ohuempaa vaneria?	Do you have thinner plywood?
Etsin pihdit ja leikkurit.	I'm looking for pliers and cutters.
Myyttekö lukkoja ja avaimia?	Do you sell locks and keys?
Missä on kylpyhuonekalusteiden osasto?	Where is the bathroom furniture department?
Etsin saumauslaastia.	I'm looking for grout.
Onko tämä liima nopeasti kuivuvaa?	Is this glue fast-drying?
