Jaa-a, mitähän tähän sanoisi.	Well, what could one say to that.
Niinpä niin.	So it is. / Right.
Aika näyttää.	Time will tell.
Paha sanoa.	Hard to say.
Kuka tietää.	Who knows.
Sitä sattuu.	It happens.
Sellasta se on.	That's how it is.
Ei voi mitään.	Can't be helped.
Parempi onni ensi kerralla.	Better luck next time.
Oli kiva jutella.	It was nice to talk.
Mukava kun nähtiin.	It was nice to see you.
Törmäillään.	Let's bump into each other.
Palaillaan.	Let's get back in touch.
Täytyykin tästä rientää.	I must dash off now.
Aika menee siivillä.	Time flies.
No, mutta.	Well, well. / Oh, but.
Katohan, kuka sieltä tulee.	Look who's coming.
Maailma on pieni.	It's a small world.
Näytät hyvältä.	You look good.
Oletpa pirteän näköinen.	You look so cheerful.
Jokin on erilaista.	Something is different.
Sopii sinulle.	It suits you.
Oletko leikkauttanut hiuksesi?	Did you get a haircut?
Sinä se et vanhene ollenkaan.	You don't age at all.
Elossa ollaan.	Still alive.
Hengissä selvitään.	We'll survive.
Täällä taas.	Here again.
Vanha tuttu.	An old acquaintance.
Mitäs miehelle/naiselle?	What's up, man/woman?
Pitää kiirettä.	It's been busy.
Töitä riittää.	There's plenty of work.
Hiljaista on pidellyt.	It's been quiet.
Oletko viihtynyt?	Have you been enjoying yourself?
Kyllä täällä viihtyy.	Yes, one enjoys it here.
Miten loma sujui?	How did the holiday go?
Toivottavasti kaikki meni hyvin.	I hope everything went well.
Oli ilo tavata.	It was a pleasure to meet you.
Ilo on minun puolellani.	The pleasure is all mine.
Terveisiä kotiin.	Greetings to your home/family.
Tulen käymään joku päivä.	I'll come visit someday.
Pistäydy kahvilla, jos olet kulmilla.	Drop by for coffee if you're in the neighbourhood.
Ovi on aina auki.	The door is always open.
Älä tee mitään, mitä minäkään en tekisi.	Don't do anything I wouldn't do.
Pidä lippu korkealla.	Keep the flag flying high. (Keep your spirits up)
Pää pystyyn.	Head up.
Se siitä sitten.	So much for that.
Jaahas, tässä sitä ollaan.	Well, here we are.
Mitäs nyt?	What now?
Siinähän se.	There it is.
Tämäpä mielenkiintoista.	This is rather interesting.
Katsotaan, mitä tuleman pitää.	Let's see what the future holds.
En valita.	Can't complain.
Voisi mennä huonomminkin.	It could be worse.
Päivä kerrallaan.	One day at a time.
Askel kerrallaan.	One step at a time.
Kyllä se siitä.	It'll be alright.
Älä murehdi turhia.	Don't worry about unnecessary things.
Kaikella on tarkoituksensa.	Everything has its purpose.
Se on elämää.	That's life.
Miten sanotkaan.	Whatever you say.
Jos niin sanot.	If you say so.
Ihan miten vaan.	Whatever.
Ei lisättävää.	Nothing to add.
Asia on loppuun käsitelty.	The matter is settled.
Puhutaan muusta.	Let's talk about something else.
Vaihdetaanpa aihetta.	Let's change the subject.
Sepä siitä.	That's that.
Ja niin edelleen.	And so on.
Tämä ei johda mihinkään.	This is not leading anywhere.
Olemme samaa mieltä.	We are in agreement.
Hyvä niin.	That's good.
Hienoa kuulla.	Great to hear.
Mahtava juttu.	Terrific news.
Surullista kuulla.	Sad to hear.
Ikävä kuulla.	Sorry to hear that.
Se koskettaa.	That's touching.
Ymmärrän tunteesi.	I understand how you feel.
Voin vain kuvitella.	I can only imagine.
Olet ajatuksissani.	You're in my thoughts.
Voimia.	Strength to you.
Jaksuja.	(colloquial) Strength/Endurance to you.
Kyllä aurinko paistaa vielä risukasaankin.	The sun will shine on a pile of twigs too. (Every dog has its day)
Jokaiselle jotakin.	Something for everyone.
Makuasioita.	Matters of taste.
Siitä voi olla montaa mieltä.	There can be many opinions about that.
Riippuu näkökulmasta.	It depends on the perspective.
Kolikolla on kaksi puolta.	There are two sides to every coin.
Älä ota sitä niin vakavasti.	Don't take it so seriously.
Huumorilla eteenpäin.	With humor, we go forward.
Elämä on liian lyhyt murehtimiseen.	Life is too short for worrying.
Nauti pienistä hetkistä.	Enjoy the little moments.
Terveys edellä.	Health first.
Lepää rauhassa.	Rest in peace.
Muistosi elää.	Your memory lives on.
Onnea matkaan.	Good luck on your journey.
Hyvää jatkoa.	All the best for the future.
Kaikkea hyvää sinulle.	All the best to you.
Menestystä.	Success.
Toivon parasta.	I hope for the best.
Kaikki kääntyy parhain päin.	Everything will turn out for the best.
Loppu hyvin, kaikki hyvin.	All's well that ends well.
Aika parantaa haavat.	Time heals all wounds.
Ota opiksesi.	Learn your lesson.
Tästä opimme.	We learn from this.
