Onneksi olkoon valmistumisen johdosta!	Congratulations on your graduation!
Lämpimät onnittelut tutkinnostasi.	Warm congratulations on your degree.
Olemme niin uskomattoman ylpeitä sinusta.	We are so incredibly proud of you.
Mikä fantastinen saavutus!	What a fantastic achievement!
Kaikki kova työsi on nyt palkittu.	All your hard work has now been rewarded.
Toivotamme sinulle kaikkea hyvää tulevaisuuteen.	We wish you all the best for the future.
Milloin valmistujaisjuhlat pidetään?	When will the graduation party be held?
Kiitos kutsusta valmistujaisiin.	Thank you for the invitation to the graduation party.
Saisinko onnitella uutta maisteria?	May I congratulate the new master's degree holder?
Nostakaamme malja vastavalmistuneelle!	Let's raise a toast to the new graduate!
Tämä on suuri päivä.	This is a great day.
Ylioppilaslakki sopii sinulle täydellisesti.	The graduation cap suits you perfectly.
Olet ansainnut tämän menestyksen.	You have earned this success.
Valmistujaiskakku näyttää herkulliselta.	The graduation cake looks delicious.
Saitko paljon kukkia ja lahjoja?	Did you get a lot of flowers and gifts?
Mitä aiot tehdä seuraavaksi?	What are you going to do next?
Juhlat ovat todella onnistuneet.	The party is a real success.
Onnittelut koko perheelle.	Congratulations to the whole family.
Tämä on vasta alkua.	This is just the beginning.
Piditkö liikuttavan puheen.	You gave a moving speech.
Onnea ja menestystä urallesi.	Good luck and success in your career.
Muistamme tämän päivän aina.	We will always remember this day.
Olet todellinen inspiraatio.	You are a true inspiration.
Tässä pieni lahja sinulle.	Here is a small gift for you.
Miltä nyt tuntuu olla valmistunut?	How does it feel to be a graduate now?
Vuosien opiskelu on vihdoin ohi.	Years of studying are finally over.
Tulevaisuutesi näyttää valoisalta.	Your future looks bright.
Kiitos kaikille, jotka tulitte juhlimaan kanssamme.	Thank you to everyone who came to celebrate with us.
Voimmeko ottaa yhteiskuvan valmistuneen kanssa?	Can we take a group photo with the graduate?
Tämä tutkintotodistus avaa monia ovia.	This diploma will open many doors.
On ilo juhlia tätä hetkeä kanssasi.	It is a joy to celebrate this moment with you.
Olet tehnyt vanhempasi hyvin ylpeiksi.	You have made your parents very proud.
Tarjolla on kahvia ja kakkua.	Coffee and cake are being served.
Onnea matkaan, mitä ikinä päätätkin tehdä.	Good luck with whatever you decide to do.
Tämä on merkittävä virstanpylväs elämässäsi.	This is a significant milestone in your life.
Juhlitaan aamuun asti!	Let's celebrate until morning!
Onnittelukortteja on tullut paljon.	Many congratulatory cards have arrived.
Isovanhemmat lähettivät myös onnittelunsa.	The grandparents also sent their congratulations.
Mistä löysit noin kauniin mekon juhliin?	Where did you find such a beautiful dress for the party?
Oletko helpottunut, että tentit ovat ohi?	Are you relieved that the exams are over?
Haluaisin kiittää professoreitani tuesta.	I would like to thank my professors for their support.
Tämä saavutus vaati paljon uhrauksia.	This achievement required a lot of sacrifices.
Tunnelma juhlissa on katossa.	The atmosphere at the party is through the roof.
Onnittelut myös sinun perheellesi, he ovat tukeneet sinua paljon.	Congratulations to your family as well, they have supported you a lot.
Mikä on paras muistosi opiskeluajoilta?	What is your best memory from your studies?
Anna kun halaan sinua onnittelujen merkiksi.	Let me give you a congratulatory hug.
Lahjasi on todella harkittu, kiitos paljon.	Your gift is very thoughtful, thank you so much.
Kuohuviini on kylmää ja odottaa meitä.	The sparkling wine is cold and waiting for us.
