Mitä teet viikonloppuna?	What are you doing this weekend?
Oletko vapaa huomenna illalla?	Are you free tomorrow evening?
Haluaisitko mennä kahville?	Would you like to go for a coffee?
Nähdäänkö myöhemmin?	Shall we see each other later?
Mihin aikaan sinulle sopisi?	What time would suit you?
Kävisikö seitsemältä?	Would seven o'clock work?
Tavataanko keskustassa?	Shall we meet in the city center?
Voin tulla sinun luoksesi.	I can come to your place.
Sopiiko, että tuon ystäväni mukanani?	Is it okay if I bring my friend with me?
Tämä sopii minulle hyvin.	This suits me well.
Selvä, sovittu.	Okay, it's a deal.
Odotan innolla tapaamistamme.	I'm looking forward to our meeting.
Valitettavasti minun täytyy perua.	Unfortunately, I have to cancel.
Voimmeko siirtää sen toiseen päivään?	Can we move it to another day?
Minulle tuli yllättävä meno.	Something unexpected came up for me.
Olen pahoillani, mutta en pääse tulemaan.	I'm sorry, but I can't make it.
Miten olisi ensi viikko?	How about next week?
Kävisikö lounas tiistaina?	Would lunch on Tuesday work?
Mennäänkö elokuviin perjantaina?	Shall we go to the movies on Friday?
Onko sinulla jo suunnitelmia lauantaille?	Do you already have plans for Saturday?
Voimme mennä myös puistoon kävelylle.	We could also go for a walk in the park.
Ehdotan, että menemme syömään johonkin uuteen paikkaan.	I suggest we go eat somewhere new.
Mitä ruokaa haluaisit syödä?	What kind of food would you like to eat?
Pidetään yhteyttä.	Let's keep in touch.
Ilmoitan sinulle myöhemmin.	I will let you know later.
Vahvistan sen vielä huomenna.	I will confirm it tomorrow.
Olen tulossa.	I'm on my way.
Olen noin 10 minuutin päästä siellä.	I'll be there in about 10 minutes.
Olen vähän myöhässä.	I'm running a little late.
Pahoitteluni myöhästymisestäni.	My apologies for being late.
Missä olet?	Where are you?
Olen jo perillä.	I'm already there.
Odotan sinua kahvilan edessä.	I'm waiting for you in front of the café.
Laita viestiä, kun olet lähellä.	Send a message when you're close.
Nähdään pian!	See you soon!
Oli kiva nähdä pitkästä aikaa.	It was nice to see you after a long time.
Otetaan uusiksi pian.	Let's do it again soon.
Kerro, milloin olet vapaa.	Let me know when you're free.
Sopisiko viikonloppuna?	Would the weekend work?
Minulla on kiireinen viikko.	I have a busy week.
Tarkistan kalenterini.	I'll check my calendar.
Palaan asiaan hetken kuluttua.	I'll get back to you in a moment.
Onko sinulla hetki aikaa puhua?	Do you have a moment to talk?
Voinko soittaa sinulle?	Can I call you?
Soitellaan myöhemmin.	Let's call each other later.
Kiitos kutsusta!	Thanks for the invitation!
Kuulostaa hyvältä.	Sounds good.
Ehdottomasti mukana.	Definitely in.
Tehdään niin.	Let's do that.
Mitäs suunnitelmia illaksi?	What are the plans for the evening?
Lähdetäänkö ulos?	Should we go out?
Mietin, josko mentäisiin keikalle.	I was thinking maybe we could go to a gig.
Kuka muu on tulossa?	Who else is coming?
Moneltako alkaa?	What time does it start?
Miten sinne pääsee?	How do you get there?
Voidaanko mennä yhdessä?	Can we go together?
Tulen suoraan töistä.	I'll come straight from work.
Pitääkö minun tuoda jotain?	Should I bring anything?
Ei tarvitse tuoda mitään.	You don't need to bring anything.
Nähdään siellä.	See you there.
Ilmoita, jos et pääsekään.	Let me know if you can't make it after all.
Toivottavasti sää suosii.	I hope the weather is good.
Varataan pöytä etukäteen.	Let's reserve a table in advance.
Minä voin varata sen.	I can book it.
Mitä pukukoodi on?	What's the dress code?
Vapaa pukeutuminen.	Casual dress.
Ota rennosti.	Take it easy.
Älä stressaa.	Don't stress.
Kiva kuulla sinusta.	Nice to hear from you.
Mitä kuuluu?	How are you?
Kiitos, hyvää kuuluu.	I'm fine, thanks.
Entä sinulle?	And you?
Ihan hyvää, kiitos kysymästä.	Quite good, thanks for asking.
Oli tarkoitus laittaa viestiä aiemmin.	I meant to text you earlier.
Mitä olet puuhaillut?	What have you been up to?
Ei mitään erikoista.	Nothing special.
Samaa vanhaa.	Same old, same old.
Kiirettä on pitänyt.	It's been busy.
Haluaisin nähdä sinut pian.	I'd like to see you soon.
Sama täällä.	Same here.
On ollut ikävä.	I've missed you.
Pidä huolta itsestäsi.	Take care of yourself.
Samoin.	You too.
Jatketaan juttua myöhemmin.	Let's continue our chat later.
Toki, milloin vain.	Sure, anytime.
Olen käytettävissä koko päivän.	I'm available all day.
Aamupäivä sopii minulle parhaiten.	The morning suits me best.
Iltapäivällä on enemmän aikaa.	I have more time in the afternoon.
Ehdotan, että tavataan lounaan merkeissä.	I suggest we meet for lunch.
Sopiiko, jos ehdotan paikkaa?	Is it okay if I suggest a place?
Tiedän hyvän ravintolan.	I know a good restaurant.
Luotetaan sinun makuusi.	We'll trust your taste.
Okei, hoidan varauksen.	Okay, I'll handle the reservation.
Monelleko hengelle?	For how many people?
Meitä on kaksi.	There are two of us.
Vahvista vielä, että pääset tulemaan.	Please confirm again that you can come.
Kyllä, olen tulossa.	Yes, I'm coming.
Mahtavaa, nähdään huomenna!	Awesome, see you tomorrow!
Hyvää yötä.	Good night.
Aamulla nähdään.	See you in the morning.
