Todellako?	Really?
Ihanko totta?	For real?
Ei voi olla totta.	That can't be true.
Vau!	Wow!
Uskomatonta.	Unbelievable.
Sepä yllätys.	What a surprise.
Enpä olisi uskonut.	I wouldn't have believed it.
Mitäs sitten tapahtui?	What happened then?
Kerro lisää.	Tell me more.
Kuulostaa hyvältä.	Sounds good.
Kuulostaa pahalta.	Sounds bad.
Aivan niin.	Quite so.
Juuri niin.	Exactly.
Täsmälleen.	Precisely.
Olen pahoillani.	I'm sorry.
Voi ei.	Oh no.
Sepä ikävää.	That's unfortunate.
Elämä on.	That's life.
Mitäpä tuosta.	It's no big deal.
Älä huoli.	Don't worry.
Kaikki järjestyy.	Everything will be fine.
Luota minuun.	Trust me.
Totta kai.	Of course.
Ilman muuta.	Absolutely. / Without a doubt.
Varmasti.	Certainly.
Luonnollisesti.	Naturally.
Muuten, tuli mieleeni...	By the way, it occurred to me...
Ai niin, melkein unohdin.	Oh right, I almost forgot.
Aiheesta toiseen...	Changing the subject...
Mitä ajattelit?	What did you think?
Mitä mieltä olet?	What's your opinion?
Onko kaikki selvästi?	Is everything clear?
Seuraatko?	Are you following?
Tajuatko?	Do you get it?
Anteeksi, saanko keskeyttää?	Excuse me, may I interrupt?
Pieni hetki, olisin vain sanonut, että...	Just a moment, I was just going to say that...
Sanoinko jotain väärin?	Did I say something wrong?
Älä ymmärrä väärin.	Don't get me wrong.
Ei henkilökohtaisesti.	Nothing personal.
Hyvällä tavalla.	In a good way.
Tarvitsetko apua?	Do you need help?
Voinko auttaa?	Can I help?
Autan mielelläni.	I'm happy to help.
Haluatko kahvia?	Would you like some coffee?
Ota vain.	Go ahead, take one.
Ole kuin kotonasi.	Make yourself at home.
Onpa täällä kuuma.	It's really hot in here.
Täällä on vähän vilpoista.	It's a bit chilly in here.
Aika kuluu nopeasti.	Time flies.
Viikonloppu meni taas niin nopeasti.	The weekend went by so fast again.
Maanantai taas.	It's Monday again.
Onneksi huomenna on perjantai.	Luckily it's Friday tomorrow.
Olipa pitkä päivä.	What a long day.
Tämä on ollut rankka viikko.	This has been a tough week.
Odotan jo lomaa.	I'm already looking forward to the holiday.
Onko sinulla suunnitelmia viikonlopuksi?	Do you have plans for the weekend?
Ei mitään erityistä, ajattelin vain rentoutua.	Nothing special, I thought I'd just relax.
Nautitaan nyt tästä hetkestä.	Let's just enjoy this moment.
Onpa kaunis auringonlasku.	What a beautiful sunset.
Kuuntele, linnut laulavat.	Listen, the birds are singing.
Hiljaista on.	It's quiet.
Täällä on mukava tunnelma.	There's a nice atmosphere here.
Oletko valmis?	Are you ready?
Melkein.	Almost.
Anna mennä.	Go ahead.
Sinun vuorosi.	Your turn.
Vuorosi jälkeen.	After you.
Ei kiirettä.	No rush.
Ota aikasi.	Take your time.
Miten vain haluat.	However you want.
Ihan sama minulle.	It's all the same to me.
Päätä sinä.	You decide.
En välitä.	I don't mind / I don't care.
Mitä suosittelisit?	What would you recommend?
Kuten sanoin...	As I was saying...
Mihin me jäimme?	Where were we?
Lyhyesti sanottuna...	In short...
Joka tapauksessa...	In any case...
Loppujen lopuksi...	In the end...
Yhdellä sanalla sanoen...	In a word...
Toisin sanoen...	In other words...
Noniin, palataan töihin.	Alright, back to work.
Täytyy jatkaa hommia.	Got to get on with work.
Eiköhän tämä ollut tässä.	I guess that's it for now.
Mukavaa iltaa.	Have a nice evening.
Nuku hyvin.	Sleep well.
Kauniita unia.	Sweet dreams.
Aja varovasti.	Drive safe.
Pidä hauskaa.	Have fun.
Nauti päivästäsi.	Enjoy your day.
Toivottavasti nähdään pian.	Hope to see you soon.
Ehdottomasti.	Definitely.
Kai niin.	I guess so.
Luultavasti.	Probably.
Tuskin.	Hardly. / Unlikely.
Epäilen.	I doubt it.
Ei tule kuuloonkaan.	Out of the question. (lit: "It doesn't even come into hearing.") (unequivocal No)
Oletpa ystävällinen.	That's kind of you.
Se on ajateltu.	That's thoughtful.
Arvostan sitä.	I appreciate it.
Kiitollinen.	Grateful.
Ei huolta.	No worries.
Kaikki on hyvin.	It's all good.
Pärjäät kyllä.	You'll be fine.
Usko itseesi.	Believe in yourself.
Siitä on aikaa.	It's been a while.
