Näitkö eilisen pelin?	Did you see yesterday's game?
Kuka voitti ottelun?	Who won the match?
Mikä oli lopputulos?	What was the final score?
Aivan uskomaton maali!	What an incredible goal!
Tuomari oli täysin onneton.	The referee was completely useless.
Meidän joukkue pelasi todella hyvin.	Our team played really well.
Hyökkäyspeli oli tehokasta.	The offense was effective.
Puolustus vuoti pahemman kerran.	The defense was leaking badly.
Maalivahti teki muutaman tärkeän torjunnan.	The goalkeeper made a few important saves.
Se oli ansaittu voitto.	It was a deserved win.
Ensi kerralla menee paremmin.	Next time it will go better.
Kuka oli sinun mielestäsi ottelun paras pelaaja?	Who do you think was the best player of the match?
Hän teki kaksi maalia ja syötti yhden.	He scored two goals and had one assist.
Missä katsoit pelin?	Where did you watch the game?
Olin paikan päällä stadionilla.	I was there at the stadium.
Tunnelma oli katossa.	The atmosphere was through the roof.
Harmi, että hävisimme.	It's a shame that we lost.
Tämä oli tärkeä voitto pudotuspelejä ajatellen.	This was an important win for the playoffs.
Joukkueen yhteishenki näytti olevan kunnossa.	The team spirit seemed to be in good shape.
Valmentaja teki oikeat vaihdot.	The coach made the right substitutions.
Seuraava peli on vierasottelu.	The next game is an away match.
Toivottavasti he jatkavat samalla tavalla.	Hopefully they continue in the same way.
Oliko se paitsio?	Was it offside?
Selvä rangaistuspotku, jota ei vihelletty.	A clear penalty that wasn't called.
Punainen kortti oli ansaittu.	The red card was deserved.
Hän on todella taitava pelaaja.	He is a really skillful player.
Joukkueen kapteeni näytti esimerkkiä.	The team captain led by example.
Nuori lupaus teki vaikutuksen.	The young prospect made an impression.
Tulos oli pettymys.	The result was a disappointment.
Voitto tuli viime hetken maalilla.	The win came with a last-minute goal.
Jatkoaika oli jännittävä.	Overtime was exciting.
Rangaistuslaukauskilpailu ratkaisi voittajan.	The penalty shootout decided the winner.
Kannattajat olivat äänekkäitä.	The supporters were loud.
Peli oli aika tylsä ensimmäisellä puoliajalla.	The game was quite boring in the first half.
Toisella puoliajalla tahti kiihtyi.	The pace picked up in the second half.
Hän laukoi ylärimaan.	He hit the crossbar.
Mahtava syöttö ketjukaverilta.	A great pass from a linemate.
Tämä tappio vaikeuttaa sarjassa pysymistä.	This loss makes it harder to stay in the league.
He tarvitsevat voiton seuraavasta ottelusta.	They need a win from the next match.
Loukkaantumiset ovat vaivanneet joukkuetta.	Injuries have been troubling the team.
Avainpelaaja on ollut sivussa jo viikkoja.	A key player has been out for weeks.
He pelasivat ylivoimalla tehokkaasti.	They played effectively on the power play.
Alivoima kesti hyvin vastustajan painostuksen.	The penalty kill held up well against the opponent's pressure.
Karmea virhe puolustuksessa johti maaliin.	A terrible mistake in defense led to a goal.
Maalinteko on ollut vaikeaa viime aikoina.	Scoring has been difficult lately.
Vastustaja oli yksinkertaisesti parempi.	The opponent was simply better.
Ansaitsimme vähintään tasapelin.	We deserved at least a draw.
Tuuri ei ollut meidän puolellamme.	Luck was not on our side.
Jäähyaitio kutsui turhan usein.	The penalty box was visited too often.
Hän sai kiekon naamaan.	He took a puck to the face.
Peli keskeytettiin hetkeksi.	The game was paused for a moment.
Näitkö sen taklauksen?	Did you see that tackle?
Se oli puhdas taklaus.	It was a clean hit.
Hänet olisi pitänyt ajaa ulos.	He should have been sent off.
Voitaisiinko katsoa hidastus?	Could we see the replay?
Tämä peli jää historiaan.	This game will go down in history.
En voi uskoa, että he käänsivät pelin.	I can't believe they turned the game around.
He menettivät selvän johtoaseman.	They lost a clear lead.
Koutsi näytti todella turhautuneelta.	The coach looked really frustrated.
Pelaajat näyttivät väsyneiltä lopussa.	The players looked tired at the end.
Tämä oli kauden paras peli tähän mennessä.	This was the best game of theseason so far.
Odotin tiukempaa vääntöä.	I expected a tighter contest.
Loppujen lopuksi oikea joukkue voitti.	In the end, the right team won.
Analysoidaanpa vähän pelin kulkua.	Let's analyze the course of the game a bit.
He hallitsivat kiekkoa suurimman osan ajasta.	They controlled the puck for most of the time.
Vastahyökkäykset olivat vaarallisia.	The counter-attacks were dangerous.
Erikoistilannepelaaminen ratkaisi.	Special teams decided the game.
Hän on joukkueen sielu.	He is the soul of the team.
Tuleeko hänestä vielä legenda?	Will he become a legend one day?
Fanit lauloivat koko pelin ajan.	The fans were singing throughout the game.
Lippujen hinnat olivat pilvissä.	The ticket prices were sky-high.
Stadion oli loppuunmyyty.	The stadium was sold out.
Onneksi televisiointi oli laadukas.	Luckily, the television broadcast was of high quality.
Selostaja oli aivan liekeissä.	The commentator was on fire.
Asiantuntijakommentit olivat osuvia.	The expert commentary was on point.
Jännitin niin paljon, että kädet hikosivat.	I was so nervous my hands were sweating.
Huusin ääneni käheäksi.	I shouted my voice hoarse.
Tämä tulos nostaa meidät sarjataulukon kärkeen.	This result lifts us to the top of the league table.
Putoamisviiva lähenee.	The relegation line is getting closer.
He varmistivat mestaruuden tällä voitolla.	They secured the championship with this win.
On aika juhlia!	It's time to celebrate!
Mennään torille!	Let's go to the market square!
Tämä oli katkera tappio.	This was a bitter defeat.
Nyt täytyy nollata tilanne ja keskittyä seuraavaan peliin.	Now we need to reset and focus on the next game.
Uskotko heidän mahdollisuuksiinsa?	Do you believe in their chances?
He ovat altavastaajia seuraavassa ottelussa.	They are the underdogs in the next match.
Kotietu on heille tärkeä.	The home advantage is important for them.
Vierasjoukkueen kannattajia oli myös paikalla.	There were also fans of the away team present.
Peli pelattiin hyvässä hengessä.	The game was played in a good spirit.
Kentällä nähtiin muutama kiihkeä hetki.	There were a few heated moments on the field.
Pelaajat kättelivät toisiaan pelin jälkeen.	The players shook hands after the game.
Lehdistötilaisuudessa oli tyytyväinen valmentaja.	There was a satisfied coach at the press conference.
Hän antoi kunniaa vastustajalle.	He gave credit to the opponent.
Tämä jäädytys oli ansaittu.	That icing was deserved.
Hän teki maalin läpiajosta.	He scored on a breakaway.
Rannelaukaus upposi yläkulmaan.	The wrist shot went into the top corner.
Lyöntilaukaus oli todella kova.	The slapshot was really hard.
Hän ohjasi kiekon maaliin.	He deflected the puck into the net.
Maali hylättiin videotarkistuksen jälkeen.	The goal was disallowed after a video review.
Peli eteni tasaisena loppuun asti.	The game remained even until the end.
Keskikenttä oli täysin heidän hallussaan.	The midfield was completely under their control.
Laitapuolustajat nousivat hyvin mukaan hyökkäyksiin.	The full-backs joined the attacks well.
Kärkihyökkääjä oli jatkuvasti vaarallinen.	The striker was constantly dangerous.
Kulmapotku johti vaaralliseen tilanteeseen.	The corner kick led to a dangerous situation.
Vapaapotku meni niukasti ohi maalin.	The free kick went just wide of the goal.
