Olen todella iloinen tänään.	I am really happy today.
Tunnen oloni hieman surulliseksi.	I'm feeling a bit sad.
Olen aivan poikki.	I am completely exhausted.
Voiko olo tuntua paremmalta?	Could I feel any better?
Olen täynnä energiaa.	I am full of energy.
Minulla on vähän väsynyt olo.	I'm feeling a little tired.
Olen stressaantunut työstä.	I am stressed out from work.
Tunnen oloni rentoutuneeksi loman jälkeen.	I feel relaxed after the holiday.
Olen hieman kipeä.	I am a little sick.
Päänsärky vaivaa minua.	A headache is bothering me.
Kurkkuni on todella kipeä.	My throat is really sore.
Olen vilustunut.	I have a cold.
Minulla on kuumetta.	I have a fever.
Tunnen itseni terveeksi ja vahvaksi.	I feel healthy and strong.
Olen nälkäinen kuin susi.	I am hungry like a wolf.
Minulla on kova jano.	I am very thirsty.
Olen aivan täynnä.	I am completely full.
Vatsani on sekaisin.	My stomach is upset.
Minua heikottaa.	I feel faint.
Pyörryttää vähän.	I feel a little dizzy.
Olen todella kyllästynyt tähän.	I am really bored with this.
Olen innoissani tulevasta matkasta.	I am excited about the upcoming trip.
Tunnen oloni luovaksi.	I'm feeling creative.
Olen hieman pettynyt tulokseen.	I am a bit disappointed with the result.
Tunnen syyllisyyttä asiasta.	I feel guilty about the matter.
Olen ylpeä saavutuksestani.	I am proud of my accomplishment.
Minua ujostuttaa puhua julkisesti.	I feel shy about speaking in public.
Olen luottavainen tulevaisuuden suhteen.	I am confident about the future.
Tunnen itseni yksinäiseksi.	I feel lonely.
Olen kiitollinen avustasi.	I am grateful for your help.
Tunnen oloni turhautuneeksi.	I'm feeling frustrated.
Olen toiveikas.	I am hopeful.
Minulla on vähän levoton olo.	I'm feeling a bit restless.
Olen huolissani hänestä.	I am worried about him/her.
Tunnen oloni rauhalliseksi.	I feel calm.
Olen ärsyyntynyt.	I am annoyed.
Minua pelottaa.	I am scared.
Tunnen oloni hämmentyneeksi.	I feel confused.
Olen utelias tietämään lisää.	I am curious to know more.
Minulla on ikävä kotiin.	I miss home.
Olen onnellinen puolestasi.	I am happy for you.
Tunnen myötätuntoa häntä kohtaan.	I feel sympathy for him/her.
Olen kateellinen hänen menestyksestään.	I am envious of his/her success.
Minulla on hieman epävarma olo.	I'm feeling a bit insecure.
Olen motivoitunut oppimaan uutta.	I am motivated to learn new things.
Tunnen oloni voimaantuneeksi.	I feel empowered.
Olen hieman allapäin.	I'm a little down.
Minulla on energinen olo.	I'm feeling energetic.
Olen aivan jäässä.	I am absolutely freezing.
Minulla on todella kuuma.	I am really hot.
Olen hikinen.	I am sweaty.
Jalkani ovat aivan muussia kävelyn jälkeen.	My legs are totally sore after the walk.
Selkäni on jumissa.	My back is stiff.
Silmäni ovat kuivat.	My eyes are dry.
Minua palelee.	I feel cold.
Olen virkeä hyvin nukutun yön jälkeen.	I am alert after a good night's sleep.
Tunnen itseni uneliaaksi.	I feel sleepy.
Olen henkisesti väsynyt.	I am mentally tired.
Minulla on hyvä fiilis tästä.	I have a good feeling about this.
Olen hieman hermostunut.	I am a little nervous.
Tunnen suurta helpotusta.	I feel great relief.
Olen vaikuttunut.	I am impressed.
Tunnen oloni loukatuksi.	I feel offended.
Olen pahoillani.	I am sorry.
Minulla on mukava olo.	I feel comfortable.
Olo on epämukava.	I feel uncomfortable.
Olen kiukkuinen.	I am angry.
Tunnen oloni arvostetuksi.	I feel appreciated.
Olen varautunut.	I am cautious.
Tunnen itseni rohkeaksi.	I feel brave.
Olen avuton.	I am helpless.
Tunnen itseni inspiroituneeksi.	I feel inspired.
Olen skeptinen.	I am skeptical.
Tunnen oloni optimistiseksi.	I feel optimistic.
Olen pessimistinen.	I am pessimistic.
Minulla on vähän outo olo.	I'm feeling a bit strange.
Voimani ovat aivan lopussa.	My strength is completely gone.
Olen täysin hereillä.	I am wide awake.
Minulla on niska-hartiaseutu aivan jumissa.	My neck and shoulder area is completely jammed.
Voin pahoin.	I feel nauseous.
Olen iloisesti yllättynyt.	I am pleasantly surprised.
Tunnen oloni tarmokkaaksi.	I feel energetic/vigorous.
Olen hämmentynyt kaikesta informaatiosta.	I am confused by all the information.
Olen tyytyväinen tähän hetkeen.	I am content with this moment.
Tunnen oloni melankoliseksi.	I'm feeling melancholic.
Olen ihmeissäni.	I am amazed.
Minua ahdistaa.	I feel anxious.
Olen surullinen hänen puolestaan.	I am sad for him/her.
Minulla on flunssainen olo.	I feel like I have the flu.
Olen yhä vähän uninen.	I'm still a bit sleepy.
Tunnen oloni virkistyneeksi suihkun jälkeen.	I feel refreshed after the shower.
Olen hieman katkera.	I am a little bitter.
Minulla on voittajafiilis.	I feel like a winner.
Olen sanaton.	I am speechless.
Tunnen itseni tasapainoiseksi.	I feel balanced.
Olen levollinen.	I am serene.
Minulla on syyllinen omatunto.	I have a guilty conscience.
Olen edelleen vähän shokissa.	I am still a bit in shock.
Tunnen oloni itsevarmaksi.	I feel self-confident.
