Mennään keilaamaan tänä viikonloppuna.	Let's go bowling this weekend.
Kuka haluaa lähteä keilaamaan?	Who wants to go bowling?
Varasin meille radan lauantai-illaksi.	I booked a lane for us for Saturday evening.
Mihin aikaan meidän pitäisi olla siellä?	What time should we be there?
Tarvitsemme keilakengät.	We need bowling shoes.
Mikä on sinun kengänkokosi?	What is your shoe size?
Täältä voi vuokrata kenkiä.	You can rent shoes from here.
Minkä painoisen pallon otat?	What weight ball are you taking?
Valitsen tämän sinisen keilapallon.	I'll choose this blue bowling ball.
Tämä pallo tuntuu sopivalta.	This ball feels suitable.
Kuka aloittaa?	Who's starting?
Minä voin aloittaa.	I can start.
Sinun vuorosi keilata.	It's your turn to bowl.
Onnea matkaan!	Good luck!
Hieno heitto!	Great throw!
Kaato! Sait kaikki kerralla.	Strike! You got them all at once.
Melkein kaato!	Almost a strike!
Sait paikon.	You got a spare.
Hyvä paikko!	Nice spare!
Montako pistettä sait?	How many points did you get?
Kirjataan pisteet ylös.	Let's write down the scores.
Tämä automaattinen pistelasku on kätevä.	This automatic scoring is handy.
Johtat peliä.	You're leading the game.
Yritän parantaa tulostani.	I'll try to improve my score.
Tämä on hauskaa.	This is fun.
En ole keilannut vuosiin.	I haven't bowled in years.
Olen aika ruosteessa.	I'm pretty rusty.
Tämä on minun ensimmäinen kertani.	This is my first time.
Tarvitsen vähän harjoitusta.	I need a little practice.
Keskity ja heitä.	Concentrate and throw.
Älä heitä palloa ränniin.	Don't throw the ball into the gutter.
Voi ei, taas ränniin.	Oh no, into the gutter again.
Tämä rata on liukas.	This lane is slippery.
Voitko antaa minulle vinkkejä?	Can you give me some tips?
Kokeile heittää pallo hieman kierteellä.	Try to throw the ball with a bit of a spin.
Pidä katse keiloissa.	Keep your eyes on the pins.
Hyvä yritys!	Good try!
Meillä on vielä yksi sarja jäljellä.	We still have one game left.
Otetaanko toinen peli?	Shall we play another game?
Kyllä, pelataan vielä.	Yes, let's play more.
Tämä on viimeinen ruutu.	This is the last frame.
Kuka voitti?	Who won?
Onnittelut voitosta!	Congratulations on the win!
Olit tänään voittamaton.	You were unbeatable today.
Ensi kerralla minä voitan.	Next time I'll win.
Hyvä peli kaikille.	Good game everyone.
Palautetaan kengät tiskille.	Let's return the shoes to the counter.
Paljonko olemme velkaa?	How much do we owe?
Maksetaan yhdessä.	Let's pay together.
Minä voin maksaa tämän kierroksen.	I can pay for this round.
Keilailu avaa ruokahalun.	Bowling works up an appetite.
Mennäänkö syömään pelin jälkeen?	Shall we go eat after the game?
Keilahallilla on myös ravintola.	The bowling alley also has a restaurant.
Tilaan juotavaa.	I'll order something to drink.
Haluatko limsaa vai vettä?	Do you want soda or water?
Otetaan ranskalaiset jaettavaksi.	Let's get some fries to share.
Täällä on hyvä tunnelma.	There's a good atmosphere here.
Musiikki on aika kovalla.	The music is quite loud.
Naapuriradalla on kova kilpailu.	There's a tough competition on the next lane.
He ovat selvästi ammattilaisia.	They are clearly professionals.
Kuinka monta keilaa jäi pystyyn?	How many pins are left standing?
Vain yksi keila jäi pystyyn.	Only one pin was left standing.
Vaikea paikko.	A difficult spare.
Sait sen! Upeaa!	You got it! Awesome!
Tämä oli täydellinen heitto.	That was a perfect throw.
Kätesi on vakaa.	Your hand is steady.
Minun ranne on vähän kipeä.	My wrist is a little sore.
Pidetään pieni tauko.	Let's take a short break.
Jatketaan viiden minuutin päästä.	Let's continue in five minutes.
Haluan kokeilla erilaista palloa.	I want to try a different ball.
Tämä musta pallo on painavampi.	This black ball is heavier.
Ehkä kevyempi pallo sopisi minulle paremmin.	Maybe a lighter ball would suit me better.
Oletko valmis jatkamaan?	Are you ready to continue?
Kyllä, olen valmis.	Yes, I'm ready.
Nyt tarvitsen kaadon.	I need a strike now.
Paineet ovat kovat.	The pressure is on.
Kolme kaatoa peräkkäin on "kalkkuna".	Three strikes in a row is a "turkey".
En ole koskaan saanut kalkkunaa.	I've never gotten a turkey.
Ehkä tänään on onnenpäiväsi.	Maybe today is your lucky day.
Loistavaa! Sait sen!	Brilliant! You got it!
Pistelaskuri taisi mennä rikki.	I think the scoring machine broke.
Pyydetään apua henkilökunnalta.	Let's ask the staff for help.
Anteeksi, voisitteko tarkistaa tämän?	Excuse me, could you check this?
Nyt se toimii taas.	Now it's working again.
Montako sarjaa olemme pelanneet?	How many games have we played?
Tämä on toinen sarjamme.	This is our second game.
Jaksaako vielä kolmannen?	Do we have the energy for a third one?
Minulle riittää kaksi.	Two is enough for me.
Selvä, tämä jää viimeiseksi.	Alright, this will be the last one.
Tämä oli todella hauska ilta.	This was a really fun evening.
Pitäisi tulla keilaamaan useammin.	We should come bowling more often.
Ehdottomasti.	Definitely.
Sovitaanko jo seuraava kerta?	Shall we already schedule the next time?
Katsotaan kalentereita.	Let's look at our calendars.
Kiitos seurasta.	Thanks for the company.
Oli kivaa. Nähdään pian!	It was fun. See you soon!
Ajaminen kotiin kestää noin 20 minuuttia.	The drive home takes about 20 minutes.
Muista ottaa kaikki tavarasi mukaan.	Remember to take all your belongings.
Unohdin melkein puhelimeni.	I almost forgot my phone.
Keilapallot ovat yllättävän painavia.	Bowling balls are surprisingly heavy.
